,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
320,New Zealand,473926,bat,2 wickets,Pakistan,2/1/2011 0:00,Napier,New Zealand,Pakistan,0.5,0.5,10.91966526,0.434714588
321,England,446967,field,2 wickets,Australia,2/2/2011 0:00,Sydney,Australia,England,0.6,0.5,3.758636364,1.072799154
322,New Zealand,473927,field,41 runs,Pakistan,2/3/2011 0:00,Hamilton,New Zealand,Pakistan,0.333333333,1,11.48378788,0.419162791
323,Pakistan,473928,bat,57 runs,New Zealand,2/5/2011 0:00,Auckland,New Zealand,Pakistan,0.25,0,15.19515152,-0.031382664
324,West Indies,464992,bat,26 runs,Sri Lanka,2/6/2011 0:00,Colombo (SSC),Sri Lanka,West Indies,0,0,-15.65727273,1.473636364
325,Australia,446968,bat,57 runs,Australia,2/6/2011 0:00,Perth,Australia,England,0.7,0.5,14.18072586,0.653987315
327,Bangladesh,433558,field,87 runs,India,2/19/2011 0:00,Dhaka,Bangladesh,India,0,0.6,-9.038636364,-3.367539112
328,Australia,433561,bat,91 runs,Australia,2/21/2011 0:00,Ahmedabad,Australia,Zimbabwe,0,1,18.6590592,6.054617336
330,South Africa,433564,field,7 wickets,South Africa,2/24/2011 0:00,Delhi,South Africa,West Indies,1,0,0.292544045,7.816520085
331,Australia,433565,field,7 wickets,Australia,2/25/2011 0:00,Nagpur,Australia,New Zealand,0.333333333,1,5.6320895,3.591902748
335,Pakistan,433567,bat,11 runs,Pakistan,2/26/2011 0:00,Colombo (RPS),Pakistan,Sri Lanka,0,0,-11.84348485,-0.510363636
341,Bangladesh,433576,bat,9 wickets,West Indies,3/4/2011 0:00,Dhaka,Bangladesh,West Indies,0,0.6,-10.67060606,-4.245090909
343,Zimbabwe,433575,field,10 wickets,New Zealand,3/4/2011 0:00,Ahmedabad,New Zealand,Zimbabwe,0,0,12.40545455,3.189357294
344,New Zealand,433581,bat,110 runs,New Zealand,3/8/2011 0:00,Pallekele,New Zealand,Pakistan,0.4,0,19.67515152,0.365636364
345,England,433579,bat,6 runs,England,3/6/2011 0:00,Chennai,England,South Africa,0,0,-9.028604651,-2.577247357
350,Bangladesh,433585,field,2 wickets,Bangladesh,3/11/2011 0:00,Chittagong,Bangladesh,England,0.166666667,0.5,-5.66469697,-6.068
351,Zimbabwe,433583,bat,139 runs,Sri Lanka,3/10/2011 0:00,Pallekele,Sri Lanka,Zimbabwe,0.666666667,1,7.978636364,3.117272727
353,India,433586,bat,3 wickets,South Africa,3/12/2011 0:00,Nagpur,India,South Africa,0.666666667,0.333333333,-0.831666667,-3.091429175
357,England,433593,bat,18 runs,England,3/17/2011 0:00,Chennai,England,West Indies,0,0.333333333,-11.64118041,1.368727273
360,South Africa,433597,field,206 runs,South Africa,3/19/2011 0:00,Dhaka,Bangladesh,South Africa,0,0.4,-10.45527132,-8.698799154
361,Sri Lanka,433594,field,112 runs,Sri Lanka,3/18/2011 0:00,Mumbai,New Zealand,Sri Lanka,0,0,4.655909091,0.658545455
362,Australia,433596,bat,4 wickets,Pakistan,3/19/2011 0:00,Colombo (RPS),Australia,Pakistan,1,0.666666667,10.255,5.52569556
364,West Indies,433600,field,10 wickets,Pakistan,3/23/2011 0:00,Dhaka,Pakistan,West Indies,0,0.3,-18.42742424,-0.128350951
365,Australia,433601,bat,5 wickets,India,3/24/2011 0:00,Ahmedabad,Australia,India,0,0.666666667,-11.7919697,0.797792812
366,India,433599,bat,80 runs,India,3/20/2011 0:00,Chennai,India,West Indies,0,0.5,4.093213531,2.829188161
367,England,433603,bat,10 wickets,Sri Lanka,3/26/2011 0:00,Colombo (RPS),England,Sri Lanka,0,0.5,-1.151363636,2.545454545
368,New Zealand,433602,bat,49 runs,New Zealand,3/25/2011 0:00,Dhaka,New Zealand,South Africa,0,0.7,-3.4520895,-5.495526427
369,New Zealand,433604,bat,5 wickets,Sri Lanka,3/29/2011 0:00,Colombo (RPS),New Zealand,Sri Lanka,0,0.4,6.992878788,0.923272727
370,India,433605,bat,29 runs,India,3/30/2011 0:00,Mohali,India,Pakistan,1,1,14.10848485,5.745272727
371,Sri Lanka,433606,field,6 wickets,India,4/2/2011 0:00,Mumbai,India,Sri Lanka,0.4,0,20.74469697,5.418
372,Bangladesh,503364,field,9 wickets,Australia,4/11/2011 0:00,Dhaka,Australia,Bangladesh,1,0.3,13.15921071,8.815344609
373,Bangladesh,503363,bat,60 runs,Australia,4/9/2011 0:00,Dhaka,Australia,Bangladesh,0,0.7,-4.218971106,8.555526427
374,Australia,503365,bat,66 runs,Australia,4/13/2011 0:00,Dhaka,Australia,Bangladesh,1,0.6,-3.733851304,8.946980973
375,Pakistan,489214,field,7 wickets,Pakistan,4/25/2011 0:00,Gros Islet,Pakistan,West Indies,1,1,7.18508809,1.728811839
376,West Indies,489213,field,8 wickets,Pakistan,4/23/2011 0:00,Gros Islet,Pakistan,West Indies,1,0,-18.78024665,0.45346723
377,Pakistan,489215,field,3 wickets,Pakistan,4/28/2011 0:00,Bridgetown,Pakistan,West Indies,1,0,-6.284122622,2.263890063
378,Pakistan,489217,bat,10 wickets,West Indies,5/5/2011 0:00,Providence,Pakistan,West Indies,1,0.5,-12.91269556,3.345331924
380,West Indies,489221,field,4 wickets,India,6/6/2011 0:00,Port of Spain,India,West Indies,1,1,-2.796786469,8.939928118
381,India,489224,field,103 runs,West Indies,6/13/2011 0:00,North Sound,India,West Indies,1,0.5,-3.285271318,5.058376321
382,India,489223,field,3 wickets,India,6/11/2011 0:00,North Sound,India,West Indies,1,0,-2.256969697,7.116473573
383,West Indies,489225,bat,7 wickets,West Indies,6/16/2011 0:00,Kingston,India,West Indies,0.75,1,-10.73996829,2.417564482
384,England,474469,bat,6 wickets,Sri Lanka,7/3/2011 0:00,Lord's,England,Sri Lanka,0,1,2.451395349,2.016097252
385,England,474468,field,69 runs,Sri Lanka,7/1/2011 0:00,Leeds,England,Sri Lanka,0,1,-0.9320895,2.903636364
387,England,474471,bat,16 runs,England,7/9/2011 0:00,Manchester,England,Sri Lanka,0,0,5.565757576,0.532921776
391,Zimbabwe,522246,bat,4 wickets,Zimbabwe,8/12/2011 0:00,Harare,Bangladesh,Zimbabwe,0.75,0.142857143,-5.738301621,1.827818182
392,Sri Lanka,516206,field,7 wickets,Australia,8/10/2011 0:00,Pallekele,Australia,Sri Lanka,0.5,0,9.090757576,4.593078224
393,Zimbabwe,522247,bat,7 wickets,Zimbabwe,8/14/2011 0:00,Harare,Bangladesh,Zimbabwe,0.6,0.125,9.684880197,1.535006342
394,Sri Lanka,516207,field,8 wickets,Australia,8/14/2011 0:00,Hambantota,Australia,Sri Lanka,0.666666667,0,13.27602889,3.615260042
395,Bangladesh,522248,field,5 runs,Zimbabwe,8/16/2011 0:00,Harare,Bangladesh,Zimbabwe,0.5,0.888888889,-5.387847075,1.796921776
396,Bangladesh,522249,field,6 wickets,Bangladesh,8/19/2011 0:00,Bulawayo,Bangladesh,Zimbabwe,0.428571429,1,3.980151515,1.476837209
397,Sri Lanka,516209,field,5 wickets,Australia,8/20/2011 0:00,Colombo (RPS),Australia,Sri Lanka,0.6,0.666666667,1.306363636,4.871247357
398,Sri Lanka,516210,bat,4 wickets,Sri Lanka,8/22/2011 0:00,Colombo (RPS),Australia,Sri Lanka,0.666666667,0.285714286,-1.720789288,5.380617336
399,Australia,516208,field,78 runs,Sri Lanka,8/16/2011 0:00,Hambantota,Australia,Sri Lanka,0.75,0.333333333,8.755454545,4.712883721
400,Zimbabwe,522250,bat,93 runs,Bangladesh,8/21/2011 0:00,Bulawayo,Bangladesh,Zimbabwe,0.5,0,12.65060606,1.989928118
401,Pakistan,523732,bat,5 runs,Pakistan,9/8/2011 0:00,Bulawayo,Pakistan,Zimbabwe,0,0.2,20.07042283,0.890883721
402,England,474478,field,7 wickets,England,9/6/2011 0:00,Southampton,England,India,0,0.5,6.477878788,4.329818182
403,Zimbabwe,523733,field,10 wickets,Pakistan,9/11/2011 0:00,Harare,Pakistan,Zimbabwe,1,0.8,8.989545455,1.705344609
404,Zimbabwe,523734,bat,28 runs,Pakistan,9/14/2011 0:00,Harare,Pakistan,Zimbabwe,1,0.2,17.96633192,2.633175476
407,Bangladesh,531983,field,40 runs,West Indies,10/13/2011 0:00,Dhaka,Bangladesh,West Indies,0,0.3,-7.302727273,0.877116279
409,Bangladesh,531984,bat,8 wickets,West Indies,10/15/2011 0:00,Dhaka,Bangladesh,West Indies,0,0.7,-3.900757576,1.226837209
410,England,521219,bat,8 wickets,India,10/17/2011 0:00,Delhi,England,India,0.5,0.25,-8.323907681,2.547551797
411,India,521218,field,126 runs,India,10/14/2011 0:00,Hyderabad (Deccan),England,India,1,0,-0.906483439,3.55
412,Bangladesh,531985,field,8 wickets,Bangladesh,10/18/2011 0:00,Chittagong,Bangladesh,West Indies,0,0.75,-0.176515152,0.719103594
413,England,521220,bat,5 wickets,India,10/20/2011 0:00,Mohali,England,India,0.333333333,1,8.092152925,1.466376321
414,New Zealand,527015,field,4 wickets,New Zealand,10/22/2011 0:00,Harare,New Zealand,Zimbabwe,1,0.7,19.66523961,5.173636364
415,Zimbabwe,527014,field,9 wickets,New Zealand,10/20/2011 0:00,Harare,New Zealand,Zimbabwe,1,0.7,14.42099718,5.373103594
416,England,521221,bat,6 wickets,India,10/23/2011 0:00,Mumbai,England,India,0.25,0.666666667,-6.640725863,0.458473573
417,South Africa,514026,field,80 runs,South Africa,10/23/2011 0:00,Port Elizabeth,Australia,South Africa,0,0,-13.94927414,-0.180363636
418,New Zealand,527016,bat,1 wicket,Zimbabwe,10/25/2011 0:00,Bulawayo,New Zealand,Zimbabwe,1,0.333333333,-0.377878788,6.26453277
419,Sri Lanka,530428,field,25 runs,Sri Lanka,11/14/2011 0:00,Dubai (DSC),Pakistan,Sri Lanka,0.666666667,0.5,3.413787879,2.527150106
420,England,521222,field,95 runs,India,10/25/2011 0:00,Kolkata,England,India,0.2,0.333333333,2.411092319,-1.476883721
421,Sri Lanka,530427,field,8 wickets,Pakistan,11/11/2011 0:00,Dubai (DSC),Pakistan,Sri Lanka,0.5,0.333333333,6.828453136,-0.161019027
422,Pakistan,530430,bat,26 runs,Pakistan,11/20/2011 0:00,Sharjah,Pakistan,Sri Lanka,0.6,0.5,2.185606061,2.41197463
423,Pakistan,530429,bat,21 runs,Pakistan,11/18/2011 0:00,Dubai (DSC),Pakistan,Sri Lanka,0.5,0.6,3.787727273,3.033331924
424,South Africa,514027,field,3 wickets,Australia,10/28/2011 0:00,Durban,Australia,South Africa,0,0,-13.41609232,-0.091006342
425,Sri Lanka,530431,field,3 wickets,Pakistan,11/23/2011 0:00,Abu Dhabi,Pakistan,Sri Lanka,0.666666667,1,-7.652878788,1.820435518
426,India,536929,field,1 wicket,India,11/29/2011 0:00,Cuttack,India,West Indies,0.6,0,3.587815363,7.377065539
427,Bangladesh,538069,bat,5 wickets,Pakistan,12/1/2011 0:00,Dhaka,Bangladesh,Pakistan,0,0.6,-4.512575758,-0.832266385
428,India,536930,field,5 wickets,India,12/2/2011 0:00,Visakhapatnam,India,West Indies,0.666666667,1,-9.290821001,6.950241015
429,Pakistan,538070,field,76 runs,Pakistan,12/3/2011 0:00,Dhaka,Bangladesh,Pakistan,0,0.5,1.15269556,-1.684084567
430,India,536932,bat,153 runs,India,12/8/2011 0:00,Indore,India,West Indies,0.625,0,-5.765606061,7.143234672
431,India,536933,bat,34 runs,India,12/11/2011 0:00,Chennai,India,West Indies,0.666666667,0.6,-8.237455955,6.992968288
432,Pakistan,538071,field,58 runs,Pakistan,12/6/2011 0:00,Chittagong,Bangladesh,Pakistan,0,0.8,-3.275909091,-1.592460888
433,India,589309,field,85 runs,Pakistan,1/3/2013 0:00,Kolkata,India,Pakistan,0.75,0.25,-11.30939394,4.497137421
434,India,536931,field,16 runs,West Indies,12/5/2011 0:00,Ahmedabad,India,West Indies,0.714285714,0.5,-11.4130303,7.796591966
435,India,589310,bat,10 runs,India,1/6/2013 0:00,Delhi,India,Pakistan,0.6,0.2,-3.063516561,4.268241015
436,England,565812,bat,9 runs,England,1/11/2013 0:00,Rajkot,England,India,0.166666667,0,21.63542283,-0.495429175
437,Australia,573014,bat,107 runs,Australia,1/11/2013 0:00,Melbourne,Australia,Sri Lanka,0.5,0.6,5.278939394,6.126617336
438,India,565813,field,127 runs,India,1/15/2013 0:00,Kochi,England,India,0.285714286,0,14.57260747,-0.564714588
439,Sri Lanka,573015,bat,8 wickets,Sri Lanka,1/13/2013 0:00,Adelaide,Australia,Sri Lanka,0.5,0.5,-4.891180409,5.988071882
440,India,565814,bat,7 wickets,India,1/19/2013 0:00,Ranchi,England,India,0.25,0,12.78518323,-0.431078224
441,New Zealand,567358,field,1 wicket,New Zealand,1/19/2013 0:00,Paarl,New Zealand,South Africa,0.25,0,6.885119803,-2.1317463
442,Australia,573016,bat,4 wickets,Sri Lanka,1/18/2013 0:00,Brisbane,Australia,Sri Lanka,0.5,0.714285714,13.17184989,4.098630021
443,India,565815,bat,5 wickets,India,1/23/2013 0:00,Mohali,England,India,0.222222222,0.75,-0.311483439,-1.146799154
444,South Africa,567359,bat,27 runs,New Zealand,1/22/2013 0:00,Kimberley,New Zealand,South Africa,0.4,0,11.76269556,-1.370752643
445,Sri Lanka,573018,bat,32 runs,Australia,1/23/2013 0:00,Hobart,Australia,Sri Lanka,0.4,0.333333333,17.63378788,3.556727273
446,England,565816,field,7 wickets,England,1/27/2013 0:00,Dharamsala,England,India,0.2,0,4.208484848,-1.433344609
447,West Indies,573022,field,9 wickets,Australia,2/1/2013 0:00,Perth,Australia,West Indies,0.857142857,0.4,0.721786469,5.392097252
448,New Zealand,567360,bat,1 wicket,South Africa,1/25/2013 0:00,Potchefstroom,New Zealand,South Africa,0.5,0,15.39587738,0.153234672
449,New Zealand,569240,bat,3 wickets,New Zealand,2/17/2013 0:00,Hamilton,England,New Zealand,0,0.5,-1.430574348,2.568122622
450,West Indies,573023,bat,54 runs,Australia,2/3/2013 0:00,Perth,Australia,West Indies,0.875,0.5,4.684090909,5.675006342
451,West Indies,573025,field,5 wickets,Australia,2/8/2013 0:00,Sydney,Australia,West Indies,0.9,0.5,13.98833333,6.808545455
452,Australia,573024,bat,39 runs,Australia,2/6/2013 0:00,Canberra,Australia,West Indies,0.888888889,0,5.441060606,5.917551797
453,West Indies,573026,bat,17 runs,Australia,2/10/2013 0:00,Melbourne,Australia,West Indies,0.9,0.666666667,18.64787879,7.375818182
454,England,569241,field,8 wickets,England,2/20/2013 0:00,Napier,England,New Zealand,0,0.6,7.786666667,1.913031712
455,Zimbabwe,593983,bat,156 runs,West Indies,2/22/2013 0:00,St George's,West Indies,Zimbabwe,0.8,0,27.20893939,0.939564482
456,England,569242,field,5 wickets,England,2/23/2013 0:00,Auckland,England,New Zealand,0.5,0.5,4.97030303,2.933479915
457,Zimbabwe,593985,field,5 wickets,West Indies,2/26/2013 0:00,St George's,West Indies,Zimbabwe,0.857142857,0.5,10.09333333,1.84055814
458,Zimbabwe,593984,field,7 wickets,West Indies,2/24/2013 0:00,St George's,West Indies,Zimbabwe,0.833333333,0,25.37412262,1.644012685
460,Pakistan,567368,field,125 runs,South Africa,3/10/2013 0:00,Bloemfontein,Pakistan,South Africa,0.4,0,-6.0370895,-0.178
464,South Africa,567371,field,3 wickets,Pakistan,3/21/2013 0:00,Durban,Pakistan,South Africa,0.285714286,0.5,-10.47409091,-0.547357294
465,Pakistan,567372,bat,6 wickets,South Africa,3/24/2013 0:00,Benoni,Pakistan,South Africa,0.375,1,-13.19954545,-1.286630021
466,Zimbabwe,623573,bat,121 runs,Bangladesh,5/3/2013 0:00,Bulawayo,Bangladesh,Zimbabwe,0.555555556,0.285714286,11.00015152,3.049188161
467,Pakistan,567370,field,34 runs,South Africa,3/17/2013 0:00,Johannesburg,Pakistan,South Africa,0.333333333,0.5,-9.68530303,-0.125539112
469,Zimbabwe,623575,bat,7 wickets,Zimbabwe,5/8/2013 0:00,Bulawayo,Bangladesh,Zimbabwe,0.6,0.333333333,8.296515152,2.916909091
470,Zimbabwe,623574,bat,6 wickets,Zimbabwe,5/5/2013 0:00,Bulawayo,Bangladesh,Zimbabwe,0.6,0.375,7.066212121,3.233188161
471,New Zealand,566923,bat,5 wickets,New Zealand,5/31/2013 0:00,Lord's,England,New Zealand,0.666666667,0.6,-3.885725863,3.817019027
474,New Zealand,566924,field,86 runs,New Zealand,6/2/2013 0:00,Southampton,England,New Zealand,0.5,0.5,-3.219665257,3.4417463
475,South Africa,578614,bat,26 runs,India,6/6/2013 0:00,Cardiff,India,South Africa,0.571428571,0,-18.92700141,1.081805497
476,New Zealand,566925,bat,34 runs,England,6/5/2013 0:00,Nottingham,England,New Zealand,0.4,0,1.296818182,3.311200846
477,West Indies,578615,bat,2 wickets,West Indies,6/7/2013 0:00,The Oval,Pakistan,West Indies,0.8,0.4,4.011060606,0.579260042
478,England,578616,field,48 runs,England,6/8/2013 0:00,Birmingham,Australia,England,0.6,0,20.25939394,1.191357294
479,South Africa,578618,field,67 runs,South Africa,6/10/2013 0:00,Birmingham,Pakistan,South Africa,0.333333333,0,3.846212121,-4.222376321
480,Sri Lanka,578617,field,1 wicket,New Zealand,6/9/2013 0:00,Cardiff,New Zealand,Sri Lanka,0,0.5,7.931969697,0.210909091
481,India,578619,field,8 wickets,India,6/11/2013 0:00,The Oval,India,West Indies,0.7,0.666666667,-21.97624383,6.411065539
482,Sri Lanka,578621,bat,7 wickets,Sri Lanka,6/13/2013 0:00,The Oval,England,Sri Lanka,0.4,0.285714286,-5.748484848,4.32946723
483,New Zealand,578624,bat,10 runs,England,6/16/2013 0:00,Cardiff,England,New Zealand,0.5,0.333333333,-7.767121212,4.329649049
484,Australia,578625,field,20 runs,Sri Lanka,6/17/2013 0:00,The Oval,Australia,Sri Lanka,0.5,0.75,15.33924242,6.489830867
485,West Indies,597923,bat,6 wickets,West Indies,6/28/2013 0:00,Kingston,Sri Lanka,West Indies,1,0.666666667,-5.721363636,0.783818182
486,England,566946,field,7 wickets,England,6/19/2013 0:00,The Oval,England,South Africa,0.6,0.666666667,-6.165909091,0.887272727
487,India,566947,field,8 wickets,India,6/20/2013 0:00,Cardiff,India,Sri Lanka,0.8,0.5,-11.1579105,4.881526427
489,England,566948,field,5 runs,India,6/23/2013 0:00,Birmingham,England,India,0.2,0,14.43669838,-1.24597463
490,West Indies,597924,bat,1 wicket,West Indies,6/30/2013 0:00,Kingston,India,West Indies,0.7,0.5,1.212998591,5.860156448
491,India,597925,field,161 runs,Sri Lanka,7/2/2013 0:00,Kingston,India,Sri Lanka,0.8,0.6,-0.494848485,5.883513742
493,India,597929,field,1 wicket,India,7/11/2013 0:00,Port of Spain,India,Sri Lanka,0.7,1,12.54469697,5.292520085
494,West Indies,645635,bat,126 runs,Pakistan,7/14/2013 0:00,Providence,Pakistan,West Indies,0.666666667,0.333333333,1.797424242,-0.960194503
495,Pakistan,645637,field,37 runs,West Indies,7/16/2013 0:00,Providence,Pakistan,West Indies,0.714285714,0.5,1.508181818,-0.924012685
496,South Africa,635653,field,180 runs,Sri Lanka,7/20/2013 0:00,Colombo (RPS),South Africa,Sri Lanka,0.5,0.8,-3.102727273,4.322545455
497,India,643665,field,6 wickets,India,7/24/2013 0:00,Harare,India,Zimbabwe,0,0.7,1.768907681,8.831915433
498,South Africa,635655,bat,56 runs,South Africa,7/26/2013 0:00,Pallekele,South Africa,Sri Lanka,0.4,0.666666667,8.721818182,3.761272727
499,Pakistan,645643,field,4 wickets,Pakistan,7/24/2013 0:00,Gros Islet,Pakistan,West Indies,0.625,0.5,0.409393939,-0.600642706
500,Zimbabwe,643667,bat,58 runs,India,7/26/2013 0:00,Harare,India,Zimbabwe,0.333333333,0.3,18.13439394,6.184824524
501,India,643669,field,7 wickets,India,7/28/2013 0:00,Harare,India,Zimbabwe,0.5,0.6,26.08636364,5.832097252
502,South Africa,635656,bat,8 wickets,Sri Lanka,7/28/2013 0:00,Pallekele,South Africa,Sri Lanka,0.5,0.714285714,5.713484848,3.143272727
503,India,643675,field,9 wickets,India,8/1/2013 0:00,Bulawayo,India,Zimbabwe,0.6,0.7,25.64205779,4.760460888
504,Sri Lanka,635657,field,128 runs,Sri Lanka,7/31/2013 0:00,Colombo (RPS),South Africa,Sri Lanka,0.428571429,0.8,-3.327878788,2.811272727
505,Zimbabwe,659551,bat,90 runs,Pakistan,8/29/2013 0:00,Harare,Pakistan,Zimbabwe,0.75,0.3,22.07712121,1.481103594
506,India,643677,field,7 wickets,India,8/3/2013 0:00,Bulawayo,India,Zimbabwe,0.666666667,0.7,2.383572939,4.977805497
507,Pakistan,659549,bat,7 wickets,Zimbabwe,8/27/2013 0:00,Harare,Pakistan,Zimbabwe,1,0.3,10.43848485,1.459928118
509,Zimbabwe,659553,bat,108 runs,Pakistan,8/31/2013 0:00,Harare,Pakistan,Zimbabwe,0.8,0.4,16.65545455,1.68027907
512,England,566942,bat,88 runs,Australia,9/8/2013 0:00,Manchester,Australia,England,0.5,0.5,18.56269556,6.032266385
515,England,566944,bat,3 wickets,England,9/14/2013 0:00,Cardiff,Australia,England,0.5,0.4,22.80875617,6.905623679
516,Australia,566945,bat,49 runs,Australia,9/16/2013 0:00,Southampton,Australia,England,0.4,0.6,4.871180409,7.703708245
518,Australia,647249,bat,72 runs,Australia,10/13/2013 0:00,Pune,Australia,India,0.4,0,0.111515152,4.545479915
519,Australia,647251,bat,9 wickets,India,10/16/2013 0:00,Jaipur,Australia,India,0.5,0.5,-0.994090909,3.70855814
520,Australia,647253,field,4 wickets,Australia,10/19/2013 0:00,Mohali,Australia,India,0.428571429,0.4,1.135,3.260194503
522,India,647259,bat,6 wickets,India,10/30/2013 0:00,Nagpur,Australia,India,0.5,0.25,31.41924242,2.70655814
523,Bangladesh,668957,field,4 wickets,Bangladesh,11/3/2013 0:00,Fatullah,Bangladesh,New Zealand,0.571428571,0,-1.195119803,-0.721285412
524,South Africa,649095,field,68 runs,South Africa,11/6/2013 0:00,Abu Dhabi,Pakistan,South Africa,0.3,0.666666667,1.55,-4.282727273
525,Australia,647261,field,57 runs,India,11/2/2013 0:00,Bangalore,Australia,India,0.444444444,0.8,34.14651515,2.157006342
526,Pakistan,649093,bat,66 runs,Pakistan,11/1/2013 0:00,Dubai (DSC),Pakistan,South Africa,0.3,0.5,2.843636364,-4.449272727
527,Bangladesh,668955,bat,40 runs,Bangladesh,10/31/2013 0:00,Dhaka,Bangladesh,New Zealand,0.5,0.5,-5.823787879,-1.523830867
528,South Africa,649091,field,1 run,South Africa,10/30/2013 0:00,Sharjah,Pakistan,South Africa,0.3,0.9,9.41,-5.053636364
529,South Africa,649097,field,28 runs,South Africa,11/8/2013 0:00,Abu Dhabi,Pakistan,South Africa,0.3,0.571428571,4.982727273,-3.497636364
530,South Africa,649099,field,117 runs,South Africa,11/11/2013 0:00,Sharjah,Pakistan,South Africa,0.2,0.8,-3.37469697,-2.093272727
531,West Indies,676529,field,6 wickets,India,11/21/2013 0:00,Kochi,India,West Indies,0.6,0,-19.47821353,6.097454545
532,Pakistan,685731,bat,23 runs,Pakistan,11/24/2013 0:00,Cape Town,Pakistan,South Africa,0.2,0,7.76239253,-2.17
533,West Indies,676531,bat,2 wickets,West Indies,11/24/2013 0:00,Visakhapatnam,India,West Indies,0.6,0,5.524362227,6.234266385
534,India,676533,field,5 wickets,India,11/27/2013 0:00,Kanpur,India,West Indies,0.6,0,4.058604651,6.917987315
535,South Africa,685733,bat,1 run,Pakistan,11/27/2013 0:00,Port Elizabeth,Pakistan,South Africa,0.3,1,4.970909091,-2.041188161
536,India,648651,field,141 runs,South Africa,12/5/2013 0:00,Johannesburg,India,South Africa,0.625,0.333333333,-27.04169838,3.145162791
537,South Africa,685735,bat,4 wickets,South Africa,11/30/2013 0:00,Centurion,Pakistan,South Africa,0.4,0,-16.73848485,-1.515733615
538,Sri Lanka,657639,bat,2 wickets,Sri Lanka,12/20/2013 0:00,Dubai (DSC),Pakistan,Sri Lanka,0.6,0.555555556,4.243787879,4.082448203
539,Sri Lanka,657641,bat,113 runs,Pakistan,12/22/2013 0:00,Sharjah,Pakistan,Sri Lanka,0.5,0.4,4.092424242,4.443902748
540,Pakistan,657637,bat,11 runs,Pakistan,12/18/2013 0:00,Sharjah,Pakistan,Sri Lanka,0.6,0.3,8.87,3.617902748
541,West Indies,661685,bat,2 wickets,West Indies,12/26/2013 0:00,Auckland,New Zealand,West Indies,0.25,0.333333333,11.60727273,0.075902748
542,Pakistan,657645,bat,2 wickets,Sri Lanka,12/27/2013 0:00,Abu Dhabi,Pakistan,Sri Lanka,0.6,0.444444444,5.990909091,1.906363636
543,Sri Lanka,657643,field,8 wickets,Pakistan,12/25/2013 0:00,Abu Dhabi,Pakistan,Sri Lanka,0.6,0.5,0.944545455,3.526181818
544,India,648653,field,134 runs,South Africa,12/8/2013 0:00,Durban,India,South Africa,0.555555556,0.666666667,-29.49439394,2.627065539
