,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
130,India,667725,bat,6 wickets,India,8/30/2014 0:00,Nottingham,England,India,0.2,0.333333333,22.61075758,-7.372701903
131,South Africa,736451,bat,62 runs,Australia,9/2/2014 0:00,Harare,Australia,South Africa,0.333333333,0.5,3.365151515,2.638909091
132,India,667727,bat,9 wickets,India,9/2/2014 0:00,Birmingham,England,India,0.2,0.8,12.1979105,-7.372701903
133,Zimbabwe,736453,bat,63 runs,South Africa,9/4/2014 0:00,Harare,South Africa,Zimbabwe,1,0.6,14.69863636,8.8
134,India,667729,bat,41 runs,England,9/5/2014 0:00,Leeds,England,India,0.2,0.5,18.07848485,-7.372701903
136,Australia,736449,bat,3 wickets,Zimbabwe,8/31/2014 0:00,Harare,Australia,Zimbabwe,1,0.5,25.9269697,11.43890909
137,South Africa,736455,bat,6 wickets,South Africa,9/6/2014 0:00,Harare,Australia,South Africa,0.5,0.6,10.06666667,2.638909091
140,Australia,727919,bat,93 runs,Australia,10/7/2014 0:00,Sharjah,Australia,Pakistan,0.777777778,0.4,8.994880197,5.294727273
141,India,770123,bat,48 runs,India,10/11/2014 0:00,Delhi,India,West Indies,0.6,0.333333333,-7.927878788,7.783065539
142,India,770121,field,124 runs,West Indies,10/8/2014 0:00,Kochi,India,West Indies,0.7,0.5,-9.585,7.783065539
143,Pakistan,727921,field,5 wickets,Australia,10/10/2014 0:00,Dubai (DSC),Australia,Pakistan,0.8,0.5,13.99348485,5.294727273
144,South Africa,749771,bat,6 wickets,South Africa,10/21/2014 0:00,Mount Maunganui,New Zealand,South Africa,0.428571429,0,-2.953636364,-4.886824524
145,West Indies,770127,bat,59 runs,India,10/17/2014 0:00,Dharamsala,India,West Indies,0.6,0,-8.730606061,7.783065539
146,Australia,727923,bat,1 run,Australia,10/12/2014 0:00,Abu Dhabi,Australia,Pakistan,0.8,0.4,20.21333333,5.294727273
147,New Zealand,749773,field,72 runs,South Africa,10/24/2014 0:00,Mount Maunganui,New Zealand,South Africa,0.375,1,1.727424242,-4.886824524
149,India,792295,bat,153 runs,India,11/13/2014 0:00,Kolkata,India,Sri Lanka,0.8,0.8,-4.068093728,6.52797463
150,Sri Lanka,792289,bat,169 runs,India,11/2/2014 0:00,Cuttack,India,Sri Lanka,0.7,0,-12.77269556,6.52797463
151,Sri Lanka,792291,field,6 wickets,India,11/6/2014 0:00,Ahmedabad,India,Sri Lanka,0.7,0.4,-7.11239253,6.52797463
152,South Africa,754723,bat,32 runs,Australia,11/14/2014 0:00,Perth,Australia,South Africa,0.4,0.625,-1.602455955,2.638909091
154,Sri Lanka,792293,field,6 wickets,India,11/9/2014 0:00,Hyderabad (Deccan),India,Sri Lanka,0.7,0,-4.575151515,6.52797463
155,Australia,754725,bat,3 wickets,South Africa,11/16/2014 0:00,Perth,Australia,South Africa,0.5,0.666666667,3.326634954,2.638909091
156,Australia,754727,bat,73 runs,Australia,11/19/2014 0:00,Canberra,Australia,South Africa,0.428571429,1,3.228150106,2.638909091
157,Sri Lanka,792297,field,3 wickets,India,11/16/2014 0:00,Ranchi,India,Sri Lanka,0.8,1,-2.880334743,6.52797463
158,Zimbabwe,760787,bat,87 runs,Bangladesh,11/21/2014 0:00,Chittagong,Bangladesh,Zimbabwe,0.5,0.333333333,15.91042283,3.622980973
159,Bangladesh,760789,bat,68 runs,Bangladesh,11/23/2014 0:00,Chittagong,Bangladesh,Zimbabwe,0.5,0.428571429,18.53848485,3.622980973
160,South Africa,754729,field,3 wickets,Australia,11/21/2014 0:00,Melbourne,Australia,South Africa,0.5,0.375,8.269545455,2.638909091
161,Zimbabwe,760791,bat,124 runs,Bangladesh,11/26/2014 0:00,Dhaka,Bangladesh,Zimbabwe,0.5,0.4,18.81742424,3.622980973
162,Bangladesh,760793,bat,21 runs,Bangladesh,11/28/2014 0:00,Dhaka,Bangladesh,Zimbabwe,0.6,0.4,2.529816772,3.622980973
165,Zimbabwe,760795,field,5 wickets,Bangladesh,12/1/2014 0:00,Dhaka,Bangladesh,Zimbabwe,0.7,0.6,11.31130021,3.622980973
166,England,750665,bat,8 wickets,Sri Lanka,11/29/2014 0:00,Colombo (RPS),England,Sri Lanka,0.3,0.5,13.83409091,-0.844727273
168,England,750663,field,25 runs,Sri Lanka,11/26/2014 0:00,Colombo (RPS),England,Sri Lanka,0.3,0.6,15.33893939,-0.844727273
170,Pakistan,742619,bat,3 wickets,Pakistan,12/8/2014 0:00,Dubai (DSC),New Zealand,Pakistan,0.5,0.4,-14.92139535,-2.231006342
171,Pakistan,742623,field,147 runs,Pakistan,12/14/2014 0:00,Sharjah,New Zealand,Pakistan,0.5,0.5,2.433787879,-2.231006342
172,Pakistan,742621,field,4 wickets,New Zealand,12/12/2014 0:00,Sharjah,New Zealand,Pakistan,0.428571429,0.5,1.749330514,-2.231006342
173,England,750669,bat,6 wickets,Sri Lanka,12/7/2014 0:00,Colombo (RPS),England,Sri Lanka,0.3,0.5,9.226666667,-0.844727273
