Over,ScoreA,ScoreB
1,0/0,3/0
2,4/0,7/0
3,7/0,25/0
4,14/0,32/0
5,18/0,50/0
6,27/0,53/0
7,33/0,58/1
8,40/0,58/1
9,48/0,67/2
10,60/1,78/2
11,73/1,85/2
12,79/2,91/2
13,85/2,91/3
14,88/2,95/3
15,94/2,106/3
16,97/2,109/3
17,99/2,113/3
18,103/2,114/4
19,108/2,118/4
20,112/2,118/5
21,119/2,118/5
22,121/3,118/5
23,123/3,125/5
24,128/3,129/5
25,132/3,138/5
26,134/3,146/5
27,134/4,149/5
28,135/5,150/6
29,138/5,151/6
30,140/5,154/6
31,149/5,161/6
32,151/5,174/6
33,152/6,182/6
34,155/6,188/6
35,163/6,192/6
36,171/6,197/6
37,177/6,204/6
38,183/6,211/6
39,188/6,216/6
40,196/7,217/6
41,202/7,222/6
42,212/7,222/7
43,215/7,223/7
44,216/8,224/9
45,221/8,225/10
46,228/8,nil
47,238/8,nil
48,241/9,nil
49,243/10,nil
