Over,ScoreA,ScoreB
1,1/0,3/0
2,2/0,7/0
3,2/1,17/0
4,6/1,21/2
5,15/1,26/2
6,16/1,28/2
7,18/1,32/2
8,23/1,39/2
9,30/1,44/3
10,37/1,46/3
11,38/1,52/3
12,40/1,59/3
13,51/1,64/3
14,54/1,67/3
15,62/1,71/3
16,67/1,75/3
17,71/1,78/3
18,73/1,82/3
19,83/1,87/3
20,87/1,89/3
21,94/1,102/3
22,102/1,104/4
23,111/1,113/4
24,117/1,116/4
25,124/1,122/4
26,127/1,128/4
27,134/1,131/4
28,144/1,132/5
29,149/1,132/5
30,159/1,135/5
31,163/2,136/6
32,172/2,143/6
33,175/2,151/6
34,176/2,163/7
35,182/2,170/7
36,188/2,184/7
37,200/3,186/7
38,207/3,188/8
39,211/3,192/9
40,221/3,196/9
41,229/3,198/9
42,241/3,199/9
43,249/3,203/9
44,259/3,213/9
45,274/3,213/10
46,279/4,nil
47,288/5,nil
48,299/5,nil
49,310/5,nil
50,326/5,nil
