Over,ScoreA,ScoreB
1,1/1,2/0
2,11/2,8/0
3,15/2,13/0
4,20/2,17/0
5,21/3,22/0
6,28/3,32/0
7,36/3,35/0
8,40/3,41/0
9,42/3,49/0
10,47/3,63/0
11,55/3,67/0
12,61/3,73/0
13,62/3,74/0
14,63/3,83/0
15,65/3,87/0
16,76/3,89/0
17,79/3,98/0
18,83/3,102/0
19,87/3,105/1
20,97/3,112/1
21,98/4,115/1
22,99/4,118/1
23,108/4,123/1
24,110/4,125/1
25,116/4,130/2
26,120/4,137/2
27,122/4,141/3
28,123/4,143/3
29,129/4,149/4
30,136/4,151/4
31,139/4,157/4
32,143/4,166/4
33,152/4,169/5
34,163/4,173/5
35,165/5,178/5
36,170/5,181/5
37,173/6,190/5
38,178/6,197/5
39,192/6,201/5
40,197/6,206/5
41,210/7,213/5
42,215/7,219/5
43,218/7,226/6
44,225/7,236/6
45,231/8,247/6
46,235/8,255/6
47,241/8,nil
48,248/8,nil
49,252/10,nil
