Over,ScoreA,ScoreB
1,2/0,6/0
2,2/0,7/0
3,7/0,8/0
4,7/0,9/0
5,12/0,18/0
6,14/0,24/0
7,21/0,27/0
8,23/0,30/0
9,28/0,32/0
10,30/0,39/1
11,37/0,48/2
12,42/0,53/3
13,48/0,55/3
14,55/0,58/3
15,59/0,68/3
16,66/0,73/3
17,71/0,76/3
18,73/0,77/3
19,87/0,78/3
20,89/0,78/3
21,90/0,78/3
22,92/0,90/3
23,97/0,92/3
24,99/0,101/3
25,104/0,103/3
26,116/0,114/3
27,122/0,119/3
28,125/0,124/3
29,134/0,134/3
30,139/0,145/3
31,141/1,147/3
32,145/1,152/3
33,145/2,157/3
34,146/3,159/3
35,152/3,168/3
36,157/3,178/3
37,163/3,186/3
38,165/5,194/3
39,167/6,197/3
40,169/6,204/3
41,169/7,211/4
42,176/7,218/4
43,182/7,223/4
44,187/7,230/4
45,193/7,233/4
46,200/7,nil
47,214/7,nil
48,226/8,nil
49,232/10,nil
