Over,ScoreA,ScoreB
1,0/0,0/0
2,8/0,8/0
3,16/0,12/0
4,18/1,12/0
5,21/1,14/0
6,26/1,14/1
7,31/1,22/2
8,33/2,24/2
9,37/2,25/2
10,41/2,28/2
11,48/2,29/3
12,53/2,29/5
13,57/2,34/6
14,61/2,40/6
15,63/3,40/6
16,71/3,42/6
17,76/3,48/6
18,80/3,57/6
19,82/3,62/6
20,86/3,63/6
21,88/3,69/6
22,91/3,80/6
23,96/3,85/6
24,100/3,89/6
25,107/3,96/6
26,109/3,100/6
27,111/3,102/6
28,116/3,103/6
29,120/3,112/6
30,126/3,115/6
31,127/4,123/6
32,134/4,126/7
33,139/4,133/7
34,145/4,134/8
35,147/5,141/8
36,154/5,152/8
37,165/5,153/9
38,168/5,159/10
39,178/5,nil
40,187/5,nil
41,193/5,nil
42,206/5,nil
43,217/5,nil
44,222/6,nil
45,227/6,nil
46,234/7,nil
47,241/7,nil
48,256/8,nil
49,259/9,nil
50,259/10,nil
