Over,ScoreA,ScoreB
1,1/1,0/0
2,6/1,1/1
3,7/1,2/1
4,12/2,3/1
5,16/2,7/1
6,19/2,7/3
7,22/2,8/3
8,33/2,8/3
9,34/2,14/3
10,44/2,14/3
11,50/2,15/3
12,57/2,25/3
13,60/2,33/3
14,62/2,33/3
15,73/2,35/3
16,76/2,38/3
17,81/2,40/3
18,84/2,45/3
19,92/2,48/3
20,102/2,49/3
21,111/2,50/4
22,118/2,61/5
23,126/2,68/6
24,135/2,69/6
25,147/2,72/6
26,158/2,77/6
27,166/2,78/7
28,172/2,79/7
29,179/2,79/7
30,183/2,80/7
31,187/2,85/7
32,193/3,87/7
33,194/4,93/7
34,201/5,96/7
35,205/5,97/8
36,213/5,101/8
37,216/5,106/8
38,219/6,109/8
39,222/6,112/8
40,229/6,114/8
41,238/6,121/8
42,241/7,123/9
43,244/7,123/10
44,252/7,nil
45,256/7,nil
46,266/7,nil
47,280/7,nil
48,282/8,nil
49,289/9,nil
50,298/9,nil
