Over,ScoreA,ScoreB
1,2/1,1/0
2,3/1,1/0
3,6/1,3/0
4,15/1,8/0
5,18/1,9/1
6,20/1,15/1
7,22/2,19/1
8,36/2,23/1
9,39/2,26/1
10,42/2,30/1
11,46/2,34/1
12,49/2,40/1
13,61/2,45/1
14,62/2,51/1
15,69/2,56/1
16,75/2,70/1
17,80/2,72/1
18,84/2,74/1
19,95/2,82/1
20,99/2,88/1
21,101/2,93/1
22,113/2,98/2
23,119/2,101/2
24,129/2,104/2
25,133/2,116/2
26,137/2,119/3
27,141/2,127/3
28,146/2,132/3
29,149/3,144/3
30,156/3,148/3
31,165/3,151/3
32,171/3,156/3
33,174/3,160/3
34,176/4,166/3
35,180/5,180/3
36,182/5,196/3
37,189/5,205/3
38,193/5,219/3
39,208/5,228/4
40,214/6,232/4
41,218/6,237/4
42,229/6,243/4
43,241/7,252/4
44,256/7,254/5
45,262/10,261/6
