Over,ScoreA,ScoreB
1,9/0,10/0
2,12/0,15/0
3,16/0,30/0
4,21/0,35/1
5,21/0,39/1
6,24/0,52/1
7,28/0,54/1
8,44/0,64/1
9,46/0,72/1
10,49/0,81/1
11,53/0,82/1
12,60/0,83/1
13,65/1,88/1
14,71/2,91/1
15,71/3,93/1
16,73/3,104/1
17,76/4,116/1
18,79/4,121/1
19,83/4,124/1
20,85/4,130/1
21,90/4,135/1
22,92/4,142/1
23,99/4,147/1
24,103/4,152/1
25,108/4,156/1
26,112/4,167/1
27,114/4,170/1
28,117/4,176/1
29,121/4,183/1
30,124/4,191/2
31,130/4,192/2
32,134/5,193/2
33,138/5,196/2
34,142/5,197/2
35,147/5,200/2
36,151/5,203/2
37,155/5,209/2
38,158/5,214/2
39,162/5,222/2
40,168/5,229/2
41,171/5,240/2
42,178/5,242/3
43,182/5,249/3
44,197/5,254/3
45,205/5,261/3
46,215/5,nil
47,220/5,nil
48,233/6,nil
49,240/7,nil
50,260/7,nil
