Over,ScoreA,ScoreB
1,1/0,7/0
2,2/0,13/0
3,3/0,19/0
4,7/0,32/0
5,19/0,39/0
6,24/0,49/0
7,28/0,53/1
8,33/0,54/1
9,38/1,64/1
10,42/1,64/1
11,42/1,71/1
12,50/1,72/2
13,53/1,77/2
14,56/1,81/2
15,61/1,85/4
16,61/2,92/4
17,66/2,98/4
18,70/2,104/4
19,72/2,106/4
20,73/2,110/4
21,80/2,116/4
22,86/2,121/4
23,89/2,123/4
24,91/2,134/4
25,100/2,135/5
26,103/3,141/5
27,108/3,143/5
28,118/3,147/5
29,124/3,150/6
30,132/3,156/6
31,135/4,163/7
32,136/4,171/7
33,138/4,173/7
34,142/4,180/7
35,152/4,189/7
36,157/4,192/8
37,160/4,200/8
38,166/4,nil
39,169/4,nil
40,171/5,nil
41,174/5,nil
42,175/6,nil
43,176/6,nil
44,182/6,nil
45,184/6,nil
46,198/6,nil
47,203/7,nil
48,213/8,nil
49,222/9,nil
50,228/10,nil
