Over,ScoreA,ScoreB
1,7/0,4/0
2,7/0,6/0
3,8/0,17/0
4,20/0,24/0
5,21/0,29/0
6,23/0,30/1
7,23/1,34/2
8,32/2,39/2
9,33/2,46/2
10,36/2,48/2
11,36/2,53/2
12,39/2,55/2
13,41/2,57/2
14,46/2,57/2
15,49/2,58/2
16,54/2,63/3
17,56/2,66/3
18,59/2,71/3
19,60/3,73/3
20,64/3,76/3
21,66/3,80/3
22,69/3,82/3
23,71/3,93/3
24,73/3,96/3
25,74/3,103/3
26,85/3,106/4
27,89/3,108/4
28,94/3,110/4
29,99/3,116/4
30,99/3,120/4
31,101/3,125/4
32,111/3,134/4
33,116/3,138/4
34,123/3,140/4
35,125/3,152/4
36,127/3,158/4
37,130/3,166/4
38,141/4,170/4
39,150/4,179/4
40,156/4,184/4
41,159/4,189/5
42,173/4,199/5
43,179/5,207/5
44,185/5,210/6
45,191/6,217/6
46,194/6,nil
47,198/7,nil
48,205/8,nil
49,206/9,nil
50,214/9,nil
