Over,ScoreA,ScoreB
1,4/0,1/0
2,6/0,13/0
3,6/0,17/0
4,6/0,20/0
5,10/0,25/0
6,12/1,28/0
7,12/2,31/0
8,18/2,36/0
9,24/2,37/0
10,40/2,37/1
11,44/2,39/1
12,48/2,42/1
13,52/2,48/2
14,58/2,48/2
15,61/2,51/2
16,65/2,54/2
17,69/2,58/2
18,77/2,60/2
19,80/2,60/2
20,87/2,62/2
21,90/2,66/2
22,96/2,73/2
23,101/2,74/3
24,107/2,75/3
25,110/3,79/3
26,119/3,79/3
27,125/3,79/4
28,129/3,85/5
29,135/3,87/6
30,140/3,96/6
31,148/3,101/7
32,149/3,112/7
33,152/3,112/9
34,157/4,112/10
35,170/4,nil
36,177/4,nil
37,186/4,nil
38,193/4,nil
39,201/4,nil
40,205/4,nil
41,210/4,nil
42,212/4,nil
43,217/4,nil
44,229/4,nil
45,249/4,nil
46,257/4,nil
47,278/5,nil
48,287/5,nil
49,301/7,nil
50,317/7,nil
