Over,ScoreA,ScoreB
1,1/0,0/0
2,8/0,2/0
3,16/0,11/1
4,17/0,23/1
5,19/0,36/1
6,24/0,41/1
7,32/1,46/1
8,38/1,54/1
9,47/1,54/1
10,47/1,63/1
11,51/1,79/1
12,58/1,80/2
13,63/1,83/2
14,66/1,89/2
15,73/1,92/2
16,75/1,100/2
17,83/1,106/2
18,86/1,109/2
19,92/1,118/2
20,98/1,130/2
21,110/1,137/2
22,113/1,144/2
23,122/1,152/2
24,124/1,155/2
25,131/2,159/2
26,135/2,167/3
27,141/2,170/3
28,143/2,177/3
29,147/2,182/3
30,154/2,188/3
31,160/2,190/3
32,162/2,192/4
33,164/3,199/4
34,175/3,204/4
35,179/4,205/4
36,180/5,212/4
37,182/5,215/4
38,184/7,229/4
39,186/7,231/4
40,189/7,nil
41,192/7,nil
42,192/7,nil
43,198/7,nil
44,202/7,nil
45,220/7,nil
46,221/9,nil
47,228/9,nil
48,230/10,nil
