Over,ScoreA,ScoreB
1,12/0,1/0
2,14/0,2/1
3,14/0,4/1
4,22/0,5/1
5,25/0,15/1
6,30/0,21/1
7,34/0,27/2
8,46/0,34/2
9,48/0,35/3
10,63/0,36/4
11,74/0,37/5
12,77/0,38/5
13,81/0,39/5
14,88/0,44/5
15,95/0,51/5
16,99/0,52/5
17,100/1,54/5
18,104/1,55/5
19,111/1,56/6
20,113/1,60/6
21,119/1,63/6
22,122/1,68/6
23,135/1,73/6
24,139/1,74/6
25,141/1,78/6
26,142/1,84/6
27,145/1,91/6
28,145/1,95/6
29,156/1,107/6
30,163/1,113/7
31,168/1,115/7
32,169/2,115/10
33,174/2,nil
34,181/2,nil
35,190/2,nil
36,196/2,nil
37,199/3,nil
38,209/3,nil
39,229/3,nil
40,239/3,nil
41,252/3,nil
42,261/3,nil
43,270/4,nil
44,279/5,nil
45,286/5,nil
46,297/6,nil
47,307/6,nil
48,313/7,nil
49,324/7,nil
50,330/8,nil
