Over,ScoreA,ScoreB
1,4/0,6/0
2,6/0,10/0
3,8/0,10/1
4,10/0,12/1
5,12/0,14/1
6,15/0,22/1
7,23/0,26/2
8,25/0,32/2
9,27/0,32/2
10,35/0,39/2
11,41/0,48/2
12,44/0,62/2
13,51/0,63/2
14,56/0,65/2
15,60/0,66/3
16,63/0,72/3
17,64/0,74/3
18,70/0,75/3
19,79/0,82/3
20,82/0,84/3
21,86/1,87/3
22,92/1,94/3
23,93/1,100/4
24,97/1,113/4
25,102/1,115/5
26,104/1,117/5
27,114/1,121/5
28,119/1,124/6
29,123/1,131/6
30,130/1,133/6
31,131/1,138/6
32,140/1,147/6
33,150/1,149/6
34,153/1,157/7
35,157/1,159/7
36,163/1,161/8
37,173/1,163/8
38,179/1,167/8
39,184/1,171/8
40,198/1,173/8
41,201/2,175/8
42,209/2,177/9
43,215/2,186/9
44,226/2,196/9
45,231/3,205/9
46,238/3,205/10
47,250/3,nil
48,256/4,nil
49,267/5,nil
50,272/6,nil
