Over,ScoreA,ScoreB
1,2/1,7/1
2,4/1,7/1
3,10/1,10/1
4,22/1,13/1
5,27/1,13/1
6,29/1,nil
7,34/1,nil
8,39/1,nil
9,43/1,nil
10,54/1,nil
11,61/1,nil
12,65/1,nil
13,77/1,nil
14,80/1,nil
15,87/1,nil
16,89/1,nil
17,97/1,nil
18,97/1,nil
19,99/1,nil
20,102/1,nil
21,103/1,nil
22,108/1,nil
23,116/1,nil
24,124/1,nil
25,130/1,nil
26,137/2,nil
27,139/2,nil
28,140/3,nil
29,143/3,nil
30,144/3,nil
31,152/3,nil
32,156/3,nil
33,163/3,nil
34,170/3,nil
35,173/3,nil
36,186/3,nil
37,189/3,nil
38,197/4,nil
39,205/4,nil
40,216/4,nil
41,220/5,nil
42,221/5,nil
43,225/5,nil
44,232/5,nil
45,239/5,nil
46,248/6,nil
47,257/6,nil
48,265/6,nil
49,272/8,nil
50,288/9,nil
