Over,ScoreA,ScoreB
1,7/0,2/0
2,13/0,6/0
3,14/0,7/0
4,18/0,14/0
5,28/0,21/0
6,32/0,24/0
7,40/0,25/0
8,46/0,30/0
9,52/0,32/0
10,53/1,42/0
11,58/1,45/1
12,59/2,52/1
13,67/2,57/1
14,71/3,58/1
15,72/3,60/1
16,73/3,62/1
17,73/3,66/1
18,73/3,68/1
19,79/3,71/1
20,84/3,76/1
21,86/3,81/2
22,87/3,83/3
23,87/3,86/3
24,92/3,89/4
25,94/4,90/4
26,99/4,98/4
27,106/4,98/5
28,106/4,100/5
29,113/4,104/5
30,116/4,108/5
31,119/4,110/5
32,127/4,115/6
33,128/4,123/6
34,131/4,131/6
35,135/4,132/6
36,140/4,145/6
37,145/4,151/6
38,148/4,159/6
39,156/4,160/6
40,162/5,163/6
41,165/5,166/6
42,171/5,168/6
43,174/5,169/7
44,182/5,173/7
45,185/6,175/7
46,193/6,182/7
47,201/7,190/8
48,206/8,195/9
49,209/10,200/10
