Over,ScoreA,ScoreB
1,2/0,8/0
2,2/0,8/2
3,2/1,18/2
4,6/1,19/2
5,7/1,24/2
6,8/1,33/2
7,10/1,34/2
8,21/1,42/2
9,28/1,43/3
10,30/1,49/3
11,38/1,55/3
12,40/1,64/3
13,42/1,68/3
14,44/2,75/3
15,44/2,79/4
16,47/2,84/5
17,52/2,89/5
18,58/2,90/5
19,74/2,91/5
20,77/2,103/5
21,79/2,105/6
22,80/2,107/6
23,87/2,109/6
24,90/2,114/6
25,93/2,116/6
26,97/2,121/6
27,102/2,122/6
28,104/2,127/6
29,106/2,135/6
30,110/2,141/6
31,114/2,143/6
32,118/2,150/6
33,121/2,157/6
34,123/3,159/6
35,127/3,163/6
36,129/3,171/6
37,136/3,174/6
38,140/3,187/6
39,145/3,194/6
40,154/3,196/7
41,157/3,200/7
42,163/3,201/8
43,167/3,214/8
44,181/4,216/9
45,187/5,227/9
46,195/5,235/9
47,208/5,244/10
48,217/5,nil
49,240/5,nil
50,260/5,nil
