Over,ScoreA,ScoreB
1,3/0,10/0
2,5/0,11/0
3,7/0,22/0
4,12/0,23/0
5,14/0,27/1
6,19/0,32/1
7,24/0,37/1
8,27/0,43/3
9,35/0,43/3
10,43/0,46/3
11,49/0,59/4
12,57/0,67/4
13,64/0,69/4
14,76/1,78/4
15,79/2,81/4
16,79/2,88/4
17,81/2,91/5
18,87/2,94/5
19,102/2,102/5
20,109/2,105/5
21,111/2,108/5
22,113/2,111/5
23,116/3,115/5
24,116/4,119/5
25,117/4,122/5
26,118/4,131/5
27,120/4,135/6
28,124/4,141/6
29,129/4,146/6
30,134/4,152/6
31,140/4,166/6
32,146/4,175/6
33,150/4,178/7
34,156/4,184/7
35,159/4,193/7
36,173/4,209/7
37,180/4,213/8
38,182/4,219/8
39,186/4,224/8
40,195/4,231/8
41,201/4,240/9
42,205/4,242/9
43,218/5,252/9
44,223/5,253/10
45,232/5,nil
46,241/6,nil
47,247/6,nil
48,255/6,nil
49,264/6,nil
50,273/7,nil
