Over,ScoreA,ScoreB
1,5/0,8/0
2,6/0,9/0
3,14/1,12/0
4,20/1,16/0
5,32/1,32/0
6,46/1,34/0
7,64/2,47/0
8,71/2,48/0
9,71/3,52/1
10,76/3,61/1
11,77/3,64/1
12,79/3,65/1
13,81/3,69/1
14,86/3,72/1
15,89/3,77/1
16,96/3,77/2
17,100/3,81/2
18,108/3,85/2
19,112/3,93/2
20,116/3,101/2
21,118/3,107/2
22,128/3,116/2
23,131/3,120/2
24,134/3,125/2
25,137/3,129/2
26,142/3,134/2
27,143/3,142/2
28,143/3,144/2
29,149/3,147/2
30,164/3,163/2
31,170/3,167/2
32,171/4,170/2
33,173/4,178/2
34,178/4,181/2
35,186/4,188/2
36,190/4,198/2
37,195/4,201/3
38,198/5,203/3
39,204/5,211/3
40,211/5,214/3
41,215/5,217/4
42,222/5,221/4
43,225/5,224/4
44,239/5,231/5
45,259/5,242/5
46,264/6,260/5
47,268/7,269/5
48,270/8,283/5
49,275/8,nil
50,279/9,nil
