Over,ScoreA,ScoreB
1,10/0,8/0
2,14/0,11/0
3,14/1,21/0
4,16/1,25/0
5,20/1,29/0
6,28/1,36/0
7,31/1,39/0
8,38/2,43/0
9,38/2,43/1
10,41/2,45/2
11,48/2,50/2
12,52/2,51/2
13,60/2,53/2
14,67/2,58/2
15,70/2,64/2
16,73/2,70/2
17,75/2,78/2
18,78/2,83/2
19,80/2,85/2
20,84/2,88/3
21,88/2,90/3
22,98/2,95/3
23,103/2,98/4
24,107/2,110/4
25,112/2,114/4
26,115/2,117/4
27,118/2,128/4
28,124/2,131/4
29,127/2,138/4
30,138/2,143/4
31,143/2,146/4
32,146/2,149/4
33,154/2,151/4
34,160/2,167/5
35,167/2,171/5
36,180/2,178/5
37,189/3,183/5
38,192/3,191/5
39,195/3,193/6
40,197/3,199/6
41,200/3,207/6
42,210/3,219/6
43,215/3,221/7
44,221/3,223/8
45,242/3,231/8
46,259/3,234/9
47,280/3,238/9
48,304/3,246/9
49,323/3,253/9
50,341/3,258/9
