Over,ScoreA,ScoreB
1,2/0,5/0
2,7/0,10/0
3,15/0,15/1
4,19/0,16/2
5,21/0,17/2
6,27/0,21/2
7,31/0,25/2
8,38/0,30/3
9,48/0,35/4
10,58/0,35/4
11,62/0,39/4
12,64/0,43/4
13,73/0,46/4
14,76/0,51/4
15,83/0,54/4
16,90/0,58/4
17,93/0,60/4
18,97/0,63/4
19,101/0,70/4
20,106/0,74/5
21,111/0,83/5
22,122/0,91/5
23,130/0,95/6
24,138/0,100/6
25,142/0,108/6
26,147/0,115/6
27,151/0,120/6
28,154/0,125/6
29,160/0,130/6
30,165/0,133/6
31,171/0,134/7
32,173/0,139/7
33,180/0,144/7
34,183/0,146/8
35,194/0,146/9
36,198/1,146/10
37,201/2,nil
38,207/2,nil
39,210/2,nil
40,216/2,nil
41,219/2,nil
42,222/2,nil
43,231/2,nil
44,234/4,nil
45,238/4,nil
46,245/4,nil
47,251/5,nil
48,260/6,nil
49,280/6,nil
