Over,ScoreA,ScoreB
1,3/0,1/0
2,7/0,3/0
3,9/0,9/0
4,10/1,11/0
5,28/1,20/0
6,29/1,24/1
7,40/1,30/1
8,48/1,33/1
9,52/1,43/1
10,58/1,51/1
11,60/1,57/1
12,64/1,67/2
13,79/1,72/2
14,80/1,73/2
15,89/1,78/2
16,92/1,87/2
17,93/1,89/2
18,98/1,92/2
19,98/2,98/2
20,103/2,100/2
21,108/2,101/2
22,112/2,102/2
23,115/2,107/2
24,124/2,113/2
25,131/2,119/2
26,137/2,121/3
27,148/2,123/3
28,156/2,126/4
29,165/2,131/4
30,173/2,142/4
31,181/2,148/4
32,185/2,152/4
33,197/2,164/4
34,204/2,171/4
35,210/2,177/4
36,219/2,184/4
37,226/2,195/5
38,228/3,200/6
39,242/3,211/6
40,246/3,214/7
41,253/4,220/7
42,256/4,227/7
43,267/4,238/7
44,272/5,242/7
45,282/5,247/8
46,290/5,253/8
47,294/5,260/10
48,305/5,nil
49,311/5,nil
50,315/5,nil
