Over,ScoreA,ScoreB
1,2/0,10/0
2,12/0,12/0
3,17/0,14/0
4,23/0,19/1
5,24/0,26/1
6,33/0,27/1
7,36/0,28/1
8,39/0,31/1
9,42/0,35/1
10,46/0,40/1
11,54/0,40/1
12,61/0,43/1
13,66/0,50/1
14,70/0,53/1
15,74/0,74/1
16,79/0,77/1
17,84/0,80/2
18,86/1,81/2
19,90/1,85/2
20,104/1,93/2
21,108/1,98/2
22,112/1,107/2
23,119/1,110/2
24,122/1,112/2
25,127/1,119/2
26,131/1,121/3
27,135/1,123/3
28,142/1,128/3
29,143/2,132/3
30,148/2,136/3
31,151/3,140/3
32,152/3,143/3
33,156/3,156/3
34,159/3,157/5
35,161/3,159/5
36,162/4,164/5
37,165/4,167/5
38,171/4,175/6
39,172/4,179/6
40,179/4,182/6
41,180/5,199/6
42,184/5,202/6
43,193/5,215/6
44,203/5,228/6
45,214/5,231/7
46,220/5,233/8
47,224/5,235/9
48,232/7,236/9
49,244/7,240/10
50,255/7,nil
