Over,ScoreA,ScoreB
1,2/0,4/0
2,3/0,9/0
3,3/0,10/0
4,7/0,12/0
5,21/0,21/0
6,22/0,29/0
7,28/0,31/0
8,31/0,37/0
9,31/0,45/0
10,47/0,49/0
11,48/1,54/0
12,48/2,60/0
13,49/2,77/0
14,50/3,82/0
15,56/3,88/0
16,58/3,93/1
17,60/3,94/1
18,66/3,98/1
19,70/3,100/1
20,77/3,106/1
21,77/3,108/1
22,94/3,108/1
23,100/4,113/2
24,103/5,123/2
25,109/5,127/2
26,118/5,130/2
27,122/5,134/2
28,124/5,143/2
29,128/5,149/2
30,129/6,150/2
31,130/7,153/2
32,133/7,161/3
33,133/8,170/3
34,137/8,172/3
35,139/8,175/3
36,153/8,176/3
37,160/8,179/3
38,165/8,183/3
39,168/8,193/3
40,179/8,196/3
41,184/8,201/3
42,185/8,nil
43,190/9,nil
44,192/9,nil
45,194/9,nil
46,198/9,nil
47,199/10,nil
