Over,ScoreA,ScoreB
1,2/0,3/1
2,2/0,9/1
3,3/0,10/1
4,8/1,12/1
5,13/1,17/1
6,14/1,34/1
7,19/1,41/2
8,22/1,42/2
9,24/1,43/2
10,27/1,50/3
11,38/1,55/3
12,43/1,60/3
13,51/1,69/3
14,53/1,75/3
15,57/1,77/3
16,60/1,82/3
17,65/1,84/3
18,69/1,88/5
19,70/1,92/5
20,79/1,95/5
21,82/1,102/5
22,88/1,106/5
23,90/1,114/5
24,92/1,118/5
25,98/1,124/6
26,105/1,125/6
27,109/1,133/6
28,119/1,139/6
29,131/1,146/6
30,141/1,150/6
31,144/1,161/6
32,151/1,164/6
33,156/1,168/6
34,160/1,169/7
35,162/2,171/7
36,173/2,175/8
37,187/3,179/8
38,190/3,185/8
39,194/4,188/8
40,200/4,193/9
41,213/4,196/9
42,217/4,202/10
43,225/4,nil
44,237/4,nil
45,247/5,nil
46,254/5,nil
47,265/6,nil
48,274/6,nil
49,283/6,nil
50,292/7,nil
