Over,ScoreA,ScoreB
1,2/0,8/0
2,4/0,17/0
3,5/0,19/1
4,14/0,24/1
5,17/0,26/2
6,19/0,29/3
7,24/0,29/4
8,33/0,29/4
9,33/1,29/4
10,34/1,31/4
11,37/1,37/4
12,41/1,41/4
13,49/1,42/4
14,53/1,46/4
15,56/1,46/5
16,62/1,53/5
17,66/1,55/5
18,68/1,62/6
19,72/1,63/7
20,78/1,69/7
21,79/1,71/7
22,83/1,73/7
23,94/1,76/8
24,97/1,84/8
25,104/1,88/8
26,111/1,99/9
27,114/1,99/10
28,118/1,nil
29,122/1,nil
30,127/1,nil
31,129/2,nil
32,132/2,nil
33,137/3,nil
34,144/3,nil
35,145/3,nil
36,152/3,nil
37,159/3,nil
38,161/4,nil
39,166/4,nil
40,169/4,nil
41,185/4,nil
42,189/4,nil
43,196/4,nil
44,209/4,nil
45,215/4,nil
46,225/4,nil
47,235/5,nil
48,243/6,nil
49,249/8,nil
50,256/8,nil
