Over,ScoreA,ScoreB
1,2/0,3/0
2,3/1,7/0
3,4/1,17/0
4,6/1,22/0
5,11/1,33/0
6,11/1,40/0
7,11/2,44/1
8,11/3,48/1
9,15/3,49/1
10,18/3,50/1
11,20/3,58/1
12,24/3,62/1
13,26/3,71/1
14,32/3,75/1
15,35/3,80/1
16,41/3,87/1
17,45/3,93/1
18,49/3,97/1
19,51/3,99/1
20,57/3,106/1
21,59/3,109/1
22,61/3,111/2
23,64/4,112/2
24,65/4,116/3
25,67/5,120/3
26,67/5,128/3
27,68/5,132/3
28,70/5,144/3
29,74/5,151/3
30,78/5,151/3
31,83/5,153/3
32,92/5,167/3
33,95/5,171/4
34,100/6,172/5
35,106/6,177/5
36,110/7,178/5
37,116/7,185/5
38,133/7,186/5
39,145/7,nil
40,148/8,nil
41,150/9,nil
42,163/9,nil
43,174/9,nil
44,185/10,nil
