Over,ScoreA,ScoreB
1,4/0,4/1
2,5/0,4/1
3,9/0,7/1
4,12/0,10/1
5,19/0,18/1
6,26/0,20/1
7,41/0,25/1
8,45/0,27/1
9,45/0,28/1
10,51/0,33/1
11,55/0,39/1
12,56/0,46/1
13,65/0,52/2
14,68/0,57/2
15,71/0,59/2
16,78/0,60/3
17,81/1,60/3
18,90/1,66/3
19,95/1,74/3
20,109/1,76/3
21,110/1,81/3
22,114/1,83/4
23,120/1,83/4
24,125/2,86/4
25,127/2,90/4
26,131/2,92/4
27,132/2,96/4
28,137/2,101/4
29,141/2,108/4
30,147/2,121/4
31,148/2,127/4
32,157/2,130/4
33,160/2,143/4
34,169/2,154/4
35,174/2,163/4
36,183/2,172/4
37,189/3,182/5
38,198/3,189/5
39,200/3,198/5
40,208/3,211/5
41,222/3,223/5
42,227/3,228/5
43,235/4,238/5
44,240/4,248/6
45,247/4,254/7
46,258/4,261/7
47,268/4,268/8
48,280/4,275/8
49,290/4,284/8
50,299/5,292/8
