Over,ScoreA,ScoreB
1,5/0,1/0
2,10/1,4/0
3,19/1,10/0
4,20/1,14/0
5,26/1,21/0
6,30/1,38/0
7,32/1,47/0
8,46/1,56/0
9,53/1,60/1
10,58/1,60/1
11,62/1,64/1
12,67/1,69/2
13,74/1,78/2
14,89/1,84/2
15,93/2,89/2
16,96/2,91/2
17,100/2,100/2
18,115/2,102/2
19,119/3,109/2
20,126/3,109/3
21,131/3,114/3
22,133/3,117/3
23,138/3,122/3
24,139/4,127/3
25,142/4,130/3
26,146/4,134/4
27,153/4,137/4
28,161/4,142/5
29,162/4,145/5
30,167/4,150/5
31,170/4,161/5
32,174/4,161/6
33,184/4,166/6
34,190/4,179/6
35,202/4,180/7
36,204/4,185/7
37,208/5,188/7
38,211/5,194/7
39,225/5,197/7
40,234/6,205/7
41,245/6,214/7
42,254/6,221/7
43,259/6,225/8
44,262/7,229/8
45,270/7,237/8
46,274/8,251/8
47,276/8,259/8
48,287/8,273/8
49,291/8,289/8
50,298/9,297/10
