Over,ScoreA,ScoreB
1,5/0,7/0
2,11/0,13/0
3,18/1,17/0
4,25/1,21/0
5,30/1,24/0
6,32/1,35/0
7,44/1,45/0
8,48/1,56/0
9,56/1,58/0
10,60/2,67/0
11,65/2,71/1
12,66/2,80/1
13,68/2,81/1
14,74/2,89/1
15,82/2,93/2
16,84/2,96/2
17,85/2,97/3
18,89/2,98/3
19,92/2,99/3
20,92/3,109/3
21,93/3,110/3
22,96/3,112/3
23,102/3,114/4
24,105/4,118/4
25,113/4,123/4
26,118/4,128/4
27,123/4,130/4
28,126/4,133/4
29,128/4,136/4
30,133/4,142/4
31,138/4,144/4
32,142/4,145/4
33,144/4,150/4
34,145/4,153/4
35,147/4,156/4
36,155/4,159/4
37,156/5,166/4
38,161/5,169/4
39,167/5,173/4
40,168/5,179/4
41,172/5,190/4
42,182/5,190/4
43,187/5,199/4
44,195/5,202/5
45,201/5,203/6
46,213/5,216/6
47,221/6,229/6
48,237/6,233/6
49,238/8,236/8
50,245/8,249/9
