Over,ScoreA,ScoreB
1,1/0,1/0
2,3/0,4/0
3,7/0,9/0
4,12/0,10/0
5,13/1,10/0
6,21/2,12/1
7,23/2,15/1
8,28/2,26/1
9,28/2,33/1
10,29/3,41/1
11,35/3,45/2
12,40/3,50/2
13,44/3,58/2
14,45/3,61/2
15,51/3,64/2
16,54/3,73/2
17,55/4,81/2
18,57/4,86/2
19,58/4,92/2
20,60/4,93/2
21,62/4,100/2
22,62/5,104/2
23,63/5,107/2
24,65/5,114/2
25,69/5,120/2
26,71/5,124/2
27,77/5,128/3
28,82/5,134/3
29,84/5,138/3
30,89/5,145/3
31,96/5,157/3
32,97/5,166/3
33,100/5,172/3
34,105/5,174/4
35,107/6,182/4
36,113/6,183/4
37,120/6,186/4
38,129/6,191/4
39,137/6,nil
40,148/6,nil
41,162/6,nil
42,169/7,nil
43,176/9,nil
44,178/9,nil
45,182/9,nil
46,189/9,nil
