Over,ScoreA,ScoreB
1,6/0,9/0
2,7/1,11/2
3,8/1,12/2
4,13/1,13/3
5,15/1,19/3
6,17/1,31/3
7,26/1,33/3
8,33/1,37/3
9,41/1,38/3
10,44/1,40/3
11,51/1,45/3
12,58/1,50/4
13,66/1,52/4
14,66/1,54/4
15,70/1,56/4
16,75/1,58/4
17,76/1,72/4
18,78/1,74/4
19,85/1,76/4
20,90/1,80/4
21,92/2,82/4
22,95/2,83/4
23,97/2,87/4
24,104/2,90/4
25,106/2,92/4
26,109/2,103/4
27,117/2,107/4
28,120/3,113/4
29,122/3,118/4
30,124/3,124/4
31,125/3,126/4
32,129/3,132/5
33,129/3,139/5
34,135/4,144/6
35,141/4,146/6
36,150/4,148/7
37,154/5,153/7
38,156/5,159/7
39,159/7,162/7
40,161/7,171/7
41,161/8,177/7
42,162/9,nil
43,168/9,nil
44,171/10,nil
