Over,ScoreA,ScoreB
1,4/0,7/0
2,5/0,7/1
3,7/0,12/1
4,9/0,17/1
5,10/0,24/1
6,18/0,30/1
7,18/0,33/1
8,19/0,42/1
9,20/1,43/1
10,23/1,50/1
11,27/1,52/1
12,28/1,59/1
13,31/1,66/1
14,35/1,69/1
15,43/1,72/1
16,44/1,78/1
17,49/1,80/1
18,50/3,87/1
19,51/3,91/1
20,57/3,96/1
21,60/3,98/1
22,68/3,104/1
23,73/3,108/1
24,85/3,109/1
25,86/3,115/1
26,90/3,120/1
27,95/3,123/1
28,99/4,132/1
29,103/4,136/1
30,112/4,140/1
31,120/4,156/1
32,124/4,161/1
33,137/4,165/1
34,141/4,171/1
35,142/5,173/1
36,146/5,180/1
37,149/5,186/1
38,156/5,192/2
39,158/6,195/2
40,167/6,201/2
41,170/6,203/2
42,176/6,215/2
43,179/6,227/2
44,187/7,229/2
45,195/7,237/2
46,207/7,243/2
47,215/7,nil
48,219/8,nil
49,232/8,nil
50,241/9,nil
