Over,ScoreA,ScoreB
1,0/0,5/0
2,3/0,5/1
3,9/0,12/1
4,9/1,17/1
5,10/1,19/1
6,17/2,21/2
7,19/2,23/3
8,20/2,27/3
9,24/2,30/4
10,28/2,30/4
11,33/3,31/4
12,33/4,32/4
13,37/4,34/5
14,41/4,34/5
15,46/4,36/5
16,46/4,41/5
17,50/4,41/5
18,52/4,55/5
19,67/4,55/5
20,74/4,56/6
21,79/4,64/6
22,80/5,68/6
23,80/5,74/6
24,81/5,76/6
25,82/6,80/6
26,83/6,81/7
27,89/6,89/8
28,89/7,89/8
29,92/7,90/8
30,99/7,92/9
31,106/8,94/9
32,107/8,99/9
33,112/8,104/9
34,117/8,104/10
35,121/8,nil
36,129/8,nil
37,131/8,nil
38,134/8,nil
39,135/8,nil
40,135/9,nil
41,136/9,nil
42,139/9,nil
43,140/9,nil
44,146/9,nil
45,154/9,nil
46,155/9,nil
47,163/10,nil
