Over,ScoreA,ScoreB
1,10/0,4/0
2,12/1,4/0
3,19/1,26/0
4,19/1,30/0
5,23/1,40/0
6,27/1,46/0
7,35/1,48/1
8,37/1,49/1
9,38/2,51/1
10,41/3,58/2
11,44/3,62/3
12,45/3,62/3
13,50/3,66/3
14,51/4,67/3
15,51/4,71/3
16,53/4,74/3
17,57/5,78/3
18,61/5,80/3
19,62/6,86/3
20,63/6,93/3
21,63/6,99/4
22,63/6,100/4
23,65/6,102/5
24,67/6,106/5
25,68/6,108/5
26,72/6,110/5
27,79/6,111/5
28,82/6,118/5
29,82/6,120/5
30,85/6,125/5
31,88/7,127/5
32,89/7,130/5
33,89/7,138/5
34,94/7,139/6
35,97/7,142/6
36,97/7,nil
37,97/7,nil
38,101/7,nil
39,103/7,nil
40,111/7,nil
41,115/7,nil
42,116/7,nil
43,122/7,nil
44,129/8,nil
45,130/8,nil
46,135/9,nil
47,139/9,nil
48,141/9,nil
49,141/10,nil
