Over,ScoreA,ScoreB
1,6/0,4/0
2,17/0,13/0
3,27/0,14/0
4,30/0,14/1
5,33/0,14/1
6,44/0,15/2
7,46/0,21/3
8,48/0,21/4
9,51/0,21/4
10,51/0,29/4
11,56/0,30/4
12,65/0,30/4
13,77/0,32/4
14,80/0,34/4
15,83/0,36/4
16,87/0,36/5
17,90/0,41/5
18,91/0,44/5
19,94/0,46/5
20,97/0,53/5
21,99/1,58/5
22,106/1,58/6
23,107/2,59/6
24,110/2,61/8
25,117/2,62/9
26,121/2,66/9
27,124/2,74/9
28,129/2,78/10
29,135/2,nil
30,141/3,nil
31,149/3,nil
32,154/3,nil
33,159/3,nil
34,160/3,nil
35,165/3,nil
36,168/3,nil
37,177/3,nil
38,180/3,nil
39,186/3,nil
40,192/3,nil
41,196/3,nil
42,201/3,nil
43,211/3,nil
44,221/3,nil
45,225/4,nil
46,241/4,nil
47,247/5,nil
48,258/6,nil
49,273/6,nil
50,284/8,nil
