Over,ScoreA,ScoreB
1,3/0,9/1
2,7/0,18/1
3,15/0,22/1
4,15/0,26/1
5,21/0,34/1
6,28/0,38/2
7,34/0,45/2
8,43/0,49/2
9,47/0,54/2
10,52/0,55/2
11,59/0,60/2
12,74/0,66/2
13,79/0,73/2
14,85/0,82/2
15,94/0,88/2
16,103/0,88/3
17,108/0,90/3
18,112/0,91/3
19,115/0,96/3
20,120/0,101/3
21,122/1,109/3
22,124/1,111/4
23,127/1,115/4
24,133/2,123/4
25,142/2,125/4
26,145/2,133/4
27,147/2,140/4
28,153/2,143/4
29,157/2,147/4
30,163/2,152/4
31,166/2,159/5
32,171/2,165/5
33,174/2,170/5
34,176/2,177/5
35,185/2,181/6
36,192/2,185/6
37,199/2,194/6
38,203/2,201/7
39,209/2,202/7
40,219/3,204/7
41,224/3,210/7
42,241/3,210/8
43,244/4,217/8
44,258/5,220/8
45,261/6,221/8
46,268/6,224/9
47,274/6,225/10
48,282/6,nil
49,294/6,nil
50,299/8,nil
