Over,ScoreA,ScoreB
1,3/0,9/0
2,5/0,13/0
3,6/0,28/0
4,15/1,37/0
5,18/1,38/0
6,24/1,49/0
7,29/1,57/0
8,32/1,61/0
9,35/1,63/0
10,47/1,63/1
11,52/1,65/1
12,55/1,68/1
13,62/1,74/1
14,66/1,76/1
15,67/1,77/1
16,71/1,85/1
17,73/1,90/1
18,73/1,91/2
19,80/1,94/2
20,91/1,100/2
21,95/1,103/2
22,97/1,106/2
23,97/1,111/2
24,103/1,119/2
25,108/1,119/2
26,113/1,121/2
27,119/1,127/2
28,122/1,135/2
29,132/1,139/2
30,134/1,144/3
31,143/1,150/3
32,145/2,157/3
33,149/2,161/4
34,165/2,169/4
35,168/2,176/4
36,174/2,182/4
37,179/3,189/4
38,183/3,202/4
39,187/4,207/4
40,193/4,217/4
41,198/5,218/4
42,205/5,227/4
43,213/5,228/4
44,221/5,232/4
45,225/6,235/5
46,229/6,242/5
47,242/8,253/5
48,248/8,256/5
49,255/9,261/5
50,259/9,nil
