Over,ScoreA,ScoreB
1,2/0,2/0
2,16/0,3/0
3,20/0,5/0
4,29/0,13/0
5,30/0,15/0
6,32/1,19/0
7,40/1,22/0
8,42/1,30/0
9,42/1,34/0
10,48/1,38/0
11,52/1,42/0
12,54/1,51/0
13,55/3,56/0
14,58/3,58/0
15,60/4,63/0
16,63/4,66/0
17,64/4,69/0
18,70/5,76/0
19,78/5,88/0
20,81/5,93/0
21,83/6,102/0
22,84/6,108/0
23,84/6,120/0
24,88/6,122/1
25,93/6,125/2
26,97/7,128/2
27,98/7,130/2
28,101/7,140/2
29,103/7,143/2
30,107/7,146/2
31,108/7,153/2
32,111/7,154/2
33,111/8,160/2
34,113/8,nil
35,121/8,nil
36,127/8,nil
37,137/8,nil
38,137/9,nil
39,140/9,nil
40,145/9,nil
41,152/9,nil
42,156/9,nil
43,157/9,nil
44,159/9,nil
45,159/9,nil
46,159/10,nil
