Over,ScoreA,ScoreB
1,1/0,4/0
2,6/0,7/0
3,6/0,13/0
4,9/0,18/0
5,14/1,22/0
6,14/1,26/0
7,16/1,32/0
8,21/1,41/0
9,29/1,51/0
10,29/1,57/0
11,32/1,64/0
12,38/1,67/0
13,41/1,70/0
14,45/2,74/0
15,46/2,79/0
16,47/2,80/1
17,50/2,83/1
18,51/2,85/1
19,54/2,87/1
20,67/2,94/1
21,74/2,99/1
22,79/3,112/1
23,82/3,115/1
24,84/3,125/1
25,87/3,126/1
26,89/3,135/1
27,92/3,138/1
28,96/3,138/2
29,100/3,142/2
30,106/4,151/2
31,115/4,154/2
32,120/4,155/3
33,131/4,156/3
34,137/4,163/3
35,140/4,166/3
36,146/4,171/3
37,152/4,175/3
38,152/4,182/3
39,161/5,186/3
40,166/5,188/4
41,168/5,195/4
42,171/7,196/5
43,177/7,200/5
44,193/8,208/5
45,195/9,nil
46,199/9,nil
47,206/10,nil
