Over,ScoreA,ScoreB
1,0/0,0/0
2,1/0,1/0
3,11/0,1/1
4,14/0,11/1
5,25/0,16/1
6,25/0,17/1
7,35/0,18/1
8,39/0,30/1
9,49/0,39/1
10,53/0,43/2
11,62/0,45/2
12,66/0,46/3
13,67/0,52/3
14,70/0,56/3
15,78/0,58/3
16,81/0,64/3
17,88/0,69/3
18,93/0,70/3
19,97/0,71/4
20,106/0,80/4
21,116/0,82/4
22,125/0,91/4
23,133/0,99/4
24,142/0,103/4
25,143/1,108/4
26,145/1,115/4
27,147/4,120/5
28,150/4,124/5
29,151/4,130/5
30,152/4,134/5
31,155/5,137/5
32,158/5,139/6
33,161/5,141/6
34,164/6,147/6
35,173/6,152/6
36,177/6,153/8
37,179/6,162/9
38,179/7,168/9
39,181/7,170/10
40,182/7,nil
41,187/7,nil
42,190/8,nil
43,193/8,nil
44,195/9,nil
45,200/9,nil
46,204/9,nil
47,214/9,nil
48,218/9,nil
49,225/9,nil
50,231/10,nil
