Over,ScoreA,ScoreB
1,5/0,4/0
2,9/0,5/0
3,13/0,5/0
4,13/2,12/0
5,14/2,16/0
6,23/2,24/0
7,24/3,30/0
8,33/3,34/0
9,35/3,42/0
10,35/3,42/0
11,35/3,53/0
12,49/3,53/1
13,50/4,56/1
14,56/4,56/1
15,57/4,58/1
16,58/4,63/1
17,61/4,63/1
18,65/4,64/1
19,71/4,71/2
20,77/4,74/2
21,79/4,76/2
22,79/5,79/2
23,83/5,89/2
24,84/5,92/2
25,89/5,93/2
26,91/5,102/2
27,101/5,103/2
28,104/5,109/2
29,106/5,111/2
30,117/5,118/2
31,119/5,122/2
32,127/5,124/2
33,127/5,126/2
34,134/5,137/2
35,136/5,142/2
36,144/5,145/3
37,150/5,151/3
38,155/5,156/3
39,157/6,163/3
40,161/6,167/3
41,173/6,170/3
42,177/7,174/3
43,181/7,184/3
44,186/7,192/3
45,188/7,200/3
46,196/7,216/3
47,211/8,222/3
48,216/8,227/3
49,221/8,nil
50,226/10,nil
