Over,ScoreA,ScoreB
1,2/1,3/0
2,12/1,6/0
3,20/1,8/0
4,24/1,8/0
5,31/1,9/1
6,36/1,23/1
7,37/1,32/1
8,40/1,36/1
9,45/1,43/1
10,49/1,47/1
11,54/1,50/2
12,58/1,57/2
13,62/1,60/2
14,63/2,62/2
15,65/2,63/2
16,65/2,68/2
17,69/2,73/2
18,76/2,77/2
19,82/2,81/2
20,83/2,84/2
21,88/2,90/2
22,92/2,93/2
23,96/2,99/2
24,102/2,100/2
25,109/2,108/2
26,116/3,112/2
27,118/3,115/3
28,126/4,115/3
29,129/4,122/3
30,131/4,126/3
31,138/4,131/3
32,142/4,135/3
33,143/5,140/3
34,145/5,147/3
35,149/5,151/3
36,148/5,161/3
37,146/5,169/3
38,156/5,176/3
39,164/5,180/3
40,174/5,181/3
41,180/5,187/3
42,192/5,194/3
43,198/5,206/4
44,207/6,218/4
45,215/6,226/4
46,228/6,229/6
47,239/6,242/7
48,257/6,251/7
49,258/9,259/7
50,261/10,264/7
