Over,ScoreA,ScoreB
1,7/0,6/1
2,19/0,8/1
3,19/0,9/1
4,23/1,10/1
5,27/1,25/1
6,32/1,33/2
7,34/1,39/2
8,38/1,45/2
9,41/1,53/2
10,50/1,63/2
11,52/1,72/2
12,57/1,73/3
13,65/1,75/4
14,71/1,76/4
15,76/1,78/4
16,81/1,82/4
17,86/1,87/5
18,88/1,91/5
19,90/1,94/5
20,93/1,102/5
21,96/2,105/6
22,99/2,108/6
23,108/2,109/6
24,116/2,118/6
25,119/2,119/7
26,123/2,124/7
27,133/2,131/7
28,144/2,134/7
29,148/2,138/8
30,152/2,138/9
31,157/2,139/9
32,159/2,140/10
33,167/2,nil
34,167/3,nil
35,171/3,nil
36,176/3,nil
37,180/3,nil
38,183/3,nil
39,203/3,nil
40,217/3,nil
41,225/3,nil
42,228/3,nil
43,234/3,nil
44,243/3,nil
45,260/3,nil
46,270/3,nil
47,285/3,nil
48,293/4,nil
49,304/5,nil
50,320/5,nil
