Over,ScoreA,ScoreB
1,4/0,1/0
2,12/0,7/0
3,14/0,20/0
4,17/1,24/0
5,27/1,26/0
6,38/1,33/0
7,43/1,37/0
8,51/1,44/0
9,53/1,52/0
10,53/2,52/1
11,55/2,57/1
12,55/2,59/1
13,59/2,61/1
14,67/2,65/1
15,75/2,74/1
16,76/2,78/1
17,79/2,82/1
18,83/3,90/1
19,93/3,96/2
20,95/3,99/2
21,103/3,103/2
22,106/3,111/2
23,109/3,116/2
24,115/3,121/2
25,118/3,125/2
26,119/3,130/2
27,132/3,134/2
28,135/3,138/2
29,141/3,148/2
30,145/3,155/2
31,150/3,161/2
32,154/3,165/2
33,164/3,173/3
34,169/3,178/3
35,175/3,179/4
36,181/4,181/4
37,187/4,182/4
38,199/4,187/4
39,205/4,194/4
40,212/4,197/4
41,217/4,202/4
42,221/4,209/4
43,230/4,217/4
44,234/4,222/4
45,236/5,230/4
46,245/5,239/4
47,248/5,243/5
48,256/6,253/5
49,263/6,257/6
50,269/8,270/6
