Over,ScoreA,ScoreB
1,1/1,5/0
2,3/1,6/1
3,7/1,6/1
4,7/1,10/1
5,14/2,20/1
6,14/2,20/1
7,20/2,22/2
8,21/2,26/2
9,25/2,39/2
10,27/2,48/2
11,33/3,52/2
12,36/4,56/2
13,45/4,62/2
14,49/4,76/3
15,54/4,82/3
16,56/4,84/3
17,57/4,97/3
18,62/4,101/3
19,67/4,113/3
20,70/4,113/5
21,74/4,116/5
22,76/4,122/5
23,78/4,128/5
24,84/4,129/5
25,91/4,139/5
26,93/5,141/6
27,96/5,153/6
28,100/5,157/7
29,104/5,nil
30,108/5,nil
31,111/5,nil
32,116/5,nil
33,121/5,nil
34,125/5,nil
35,126/7,nil
36,129/7,nil
37,131/8,nil
38,132/8,nil
39,138/8,nil
40,138/9,nil
41,147/9,nil
42,154/10,nil
