Over,ScoreA,ScoreB
1,1/1,0/0
2,6/1,4/1
3,6/1,5/1
4,9/1,5/1
5,10/1,11/2
6,10/1,11/2
7,16/1,16/2
8,25/1,22/2
9,27/2,23/2
10,28/2,31/2
11,28/2,39/2
12,29/2,44/2
13,38/2,48/2
14,40/2,53/2
15,46/2,56/2
16,53/2,59/2
17,54/2,59/2
18,57/3,62/2
19,58/3,67/3
20,65/3,67/4
21,68/3,69/4
22,69/3,72/5
23,70/3,74/6
24,71/3,76/6
25,76/3,79/6
26,83/3,85/6
27,87/3,87/7
28,89/3,92/7
29,95/4,95/7
30,95/5,98/8
31,100/5,103/8
32,106/5,110/8
33,109/5,114/8
34,111/5,118/8
35,118/5,122/8
36,123/5,125/8
37,126/5,125/9
38,135/5,128/9
39,136/6,135/9
40,138/6,140/10
41,155/6,nil
42,160/6,nil
43,161/7,nil
44,164/7,nil
45,167/7,nil
46,176/7,nil
47,180/8,nil
48,197/8,nil
49,210/8,nil
50,219/8,nil
