Over,ScoreA,ScoreB
1,1/1,9/0
2,5/1,10/1
3,11/2,12/1
4,11/2,18/1
5,11/2,24/1
6,15/2,24/2
7,20/2,30/2
8,21/2,33/2
9,26/2,37/2
10,27/2,43/2
11,28/2,44/2
12,32/2,51/2
13,40/2,59/2
14,44/2,62/2
15,47/2,66/2
16,51/2,69/2
17,58/2,71/2
18,73/2,79/2
19,77/2,83/2
20,82/2,87/2
21,86/2,90/3
22,90/2,95/3
23,100/2,99/3
24,110/2,102/4
25,118/2,107/4
26,120/2,109/4
27,122/3,116/4
28,124/3,118/4
29,129/3,120/4
30,131/4,120/4
31,134/4,127/4
32,139/4,130/4
33,146/4,132/4
34,147/5,139/4
35,150/5,144/4
36,151/5,147/4
37,160/5,150/4
38,165/6,158/4
39,165/6,162/4
40,172/6,167/4
41,175/6,183/5
42,178/7,188/5
43,181/7,190/5
44,184/8,192/5
45,188/8,199/5
46,195/8,210/5
47,201/9,nil
48,207/10,nil
