Over,ScoreA,ScoreB
1,5/0,6/0
2,11/0,6/0
3,18/0,7/1
4,19/0,13/1
5,27/0,15/1
6,31/0,16/1
7,36/0,19/2
8,37/0,27/2
9,41/0,33/2
10,47/0,41/2
11,52/0,44/2
12,54/0,50/2
13,60/0,52/3
14,64/0,55/3
15,67/0,68/3
16,77/0,72/3
17,85/0,75/3
18,91/0,80/3
19,99/0,82/3
20,108/0,90/3
21,117/0,96/3
22,123/0,102/3
23,128/0,105/3
24,135/0,108/3
25,139/0,115/3
26,143/1,120/3
27,152/1,123/3
28,158/1,123/4
29,163/1,124/4
30,166/1,132/4
31,167/1,135/4
32,173/1,138/5
33,175/1,141/5
34,182/1,144/5
35,191/1,152/5
36,205/1,158/5
37,212/1,165/5
38,220/1,170/5
39,224/3,177/5
40,227/3,183/6
41,231/4,189/7
42,233/4,198/8
43,238/4,198/9
44,241/4,204/9
45,249/4,208/10
46,252/5,nil
47,257/6,nil
48,266/6,nil
49,276/7,nil
50,286/9,nil
