Over,ScoreA,ScoreB
1,0/0,1/0
2,0/0,6/0
3,4/0,10/0
4,18/0,12/0
5,24/0,17/0
6,39/1,18/1
7,44/2,19/1
8,46/2,21/2
9,54/2,22/2
10,61/2,25/2
11,64/2,33/2
12,66/2,33/2
13,69/2,40/2
14,73/2,46/3
15,81/2,52/3
16,84/2,57/3
17,86/2,64/3
18,98/2,70/3
19,100/2,74/3
20,105/2,78/3
21,108/2,83/3
22,114/3,94/3
23,115/3,100/3
24,120/3,107/3
25,122/3,112/3
26,127/3,118/3
27,130/4,124/3
28,135/4,128/3
29,139/4,139/3
30,141/5,142/3
31,144/5,152/3
32,146/6,167/3
33,149/6,182/4
34,158/6,184/4
35,162/6,187/4
36,166/6,188/4
37,172/6,195/4
38,176/6,204/4
39,190/6,214/4
40,192/7,219/4
41,198/7,223/4
42,205/7,nil
43,205/8,nil
44,211/8,nil
45,215/9,nil
46,220/9,nil
47,220/10,nil
