Over,ScoreA,ScoreB
1,2/0,5/0
2,3/0,14/0
3,17/0,23/0
4,17/0,24/0
5,25/0,25/0
6,37/0,28/0
7,44/1,33/0
8,44/2,42/0
9,44/3,44/1
10,44/3,53/1
11,49/3,58/1
12,50/3,67/1
13,52/3,69/1
14,54/3,71/2
15,61/3,75/2
16,66/3,80/2
17,68/4,83/2
18,72/4,85/3
19,74/4,88/3
20,78/4,91/3
21,80/5,95/3
22,82/5,98/3
23,84/5,101/3
24,87/5,105/3
25,92/5,111/3
26,98/5,117/3
27,100/5,121/3
28,105/5,129/3
29,115/5,131/3
30,121/5,137/3
31,129/5,148/3
32,141/5,152/3
33,144/6,154/3
34,145/6,162/3
35,147/6,164/3
36,159/6,167/3
37,162/6,173/3
38,166/6,175/4
39,172/6,178/4
40,174/6,185/4
41,187/6,190/4
42,195/6,194/4
43,203/6,201/6
44,209/7,218/6
45,222/7,227/6
46,226/7,232/6
47,235/7,239/7
48,245/7,250/8
49,256/7,264/8
50,262/7,nil
