Over,ScoreA,ScoreB
1,1/0,5/0
2,16/0,6/0
3,16/0,10/0
4,21/0,16/0
5,24/0,17/0
6,41/0,25/0
7,44/0,32/0
8,51/0,41/0
9,53/0,43/0
10,63/0,45/0
11,67/0,53/0
12,78/1,58/0
13,86/1,66/1
14,88/1,68/1
15,98/1,71/1
16,101/1,78/1
17,105/1,82/1
18,110/1,89/2
19,120/1,92/2
20,124/1,99/2
21,133/1,108/2
22,142/1,114/2
23,149/1,123/3
24,152/1,129/3
25,153/2,131/3
26,158/2,141/3
27,159/2,153/3
28,162/2,158/3
29,175/2,160/4
30,181/3,164/4
31,189/3,171/4
32,196/3,176/4
33,205/3,191/5
34,215/4,193/5
35,217/4,211/5
36,226/4,218/6
37,238/4,224/6
38,247/4,233/7
39,250/4,244/8
40,261/6,246/9
41,274/6,250/9
