Over,ScoreA,ScoreB
1,2/0,3/0
2,3/1,4/1
3,3/1,15/1
4,4/1,22/1
5,13/1,23/1
6,18/1,25/1
7,25/1,29/2
8,26/2,30/2
9,30/2,36/2
10,39/2,45/2
11,48/2,47/2
12,53/2,54/2
13,55/2,61/2
14,55/4,69/2
15,62/4,75/2
16,63/4,83/2
17,67/5,85/3
18,70/5,92/3
19,76/5,94/3
20,88/5,97/3
21,91/5,101/3
22,95/5,108/3
23,103/5,108/3
24,119/6,117/3
25,120/6,122/3
26,129/6,131/3
27,133/7,135/3
28,136/7,140/3
29,143/7,144/3
30,148/7,152/3
31,149/8,156/3
32,154/8,160/3
33,154/8,161/3
34,162/8,165/3
35,167/8,172/3
36,170/9,180/3
37,181/9,188/3
38,197/9,194/3
39,201/9,202/3
40,208/9,210/3
41,213/9,213/3
42,221/9,217/3
43,223/9,222/3
44,228/9,237/3
45,229/9,247/4
46,233/9,248/5
47,240/9,253/5
48,248/9,264/5
49,255/9,270/5
50,269/9,nil
