Over,ScoreA,ScoreB
1,5/0,0/0
2,7/0,2/0
3,11/0,6/0
4,19/0,7/0
5,29/0,8/0
6,30/0,15/0
7,31/0,19/0
8,37/0,26/0
9,44/0,27/0
10,45/0,31/0
11,50/0,38/0
12,56/0,43/0
13,63/0,47/0
14,71/0,51/0
15,73/0,52/0
16,80/0,62/0
17,83/0,71/0
18,87/0,72/0
19,89/1,74/1
20,94/1,80/1
21,102/1,86/2
22,104/1,90/3
23,107/1,93/3
24,114/1,99/3
25,117/1,101/3
26,124/1,110/3
27,129/2,113/3
28,132/2,117/3
29,134/2,122/3
30,139/2,126/3
31,145/2,135/3
32,149/2,143/3
33,154/2,150/3
34,160/2,153/3
35,163/2,163/3
36,164/2,173/3
37,172/2,174/4
38,181/2,176/4
39,193/2,181/5
40,198/2,195/5
41,204/3,201/5
42,209/3,209/5
43,211/4,213/5
44,214/5,222/5
45,221/5,226/5
46,227/5,228/5
47,229/5,231/8
48,240/5,235/9
49,255/5,237/9
50,266/5,238/10
