Over,ScoreA,ScoreB
1,10/0,2/0
2,14/0,2/0
3,16/0,4/0
4,16/0,13/0
5,19/1,14/0
6,22/2,24/0
7,27/2,26/0
8,31/2,32/0
9,33/2,35/0
10,43/2,35/0
11,44/2,42/0
12,49/2,44/0
13,52/2,46/0
14,52/2,58/0
15,55/3,62/0
16,57/3,65/0
17,62/3,68/1
18,63/3,68/2
19,66/3,69/2
20,66/3,70/2
21,70/3,72/2
22,70/4,78/2
23,80/4,81/2
24,83/4,86/3
25,84/4,86/3
26,85/4,86/3
27,92/4,88/3
28,95/4,94/3
29,102/4,98/3
30,111/4,101/3
31,117/4,109/3
32,124/4,115/3
33,128/4,119/3
34,130/5,124/3
35,134/6,132/3
36,139/6,138/3
37,149/6,142/3
38,159/6,145/3
39,170/6,147/3
40,170/6,153/3
41,175/6,160/3
42,179/7,169/3
43,190/7,176/4
44,196/7,181/5
45,202/8,190/5
46,206/9,198/6
47,212/9,212/6
48,214/9,218/7
49,217/9,228/7
50,236/9,234/8
