Over,ScoreA,ScoreB
1,5/0,1/0
2,8/0,7/0
3,9/0,11/0
4,16/0,17/0
5,21/0,22/1
6,31/0,22/2
7,36/0,23/2
8,46/0,28/2
9,46/0,30/2
10,56/0,32/3
11,59/0,34/4
12,68/0,45/4
13,74/0,46/4
14,77/0,49/4
15,84/0,49/4
16,88/0,53/4
17,91/0,56/4
18,94/0,64/4
19,98/0,68/4
20,104/0,73/4
21,107/0,76/4
22,112/0,86/4
23,119/0,90/4
24,132/0,92/5
25,142/0,97/5
26,152/0,102/5
27,157/0,102/5
28,165/0,109/5
29,168/1,115/5
30,178/1,115/6
31,186/1,117/6
32,194/1,117/6
33,201/1,121/6
34,201/1,123/6
35,202/1,124/6
36,218/1,124/6
37,228/1,132/6
38,233/1,133/6
39,248/2,142/6
40,261/2,149/6
41,266/2,156/7
42,266/3,157/7
43,270/3,160/7
44,279/3,161/8
45,286/3,168/8
46,298/3,169/8
47,302/3,172/8
48,308/4,180/8
49,324/4,181/9
50,337/4,181/9
