Over,ScoreA,ScoreB
1,1/1,5/1
2,2/1,6/1
3,6/1,7/1
4,6/1,9/1
5,10/1,16/1
6,12/1,17/1
7,12/2,23/1
8,13/2,27/1
9,18/2,37/1
10,21/2,37/1
11,21/3,39/1
12,22/3,46/1
13,24/3,47/1
14,25/3,54/1
15,27/3,57/1
16,29/3,59/1
17,30/3,62/1
18,32/3,74/1
19,33/3,75/1
20,35/3,81/1
21,38/3,88/1
22,43/3,98/1
23,44/3,103/1
24,54/3,105/1
25,56/3,113/1
26,60/3,114/1
27,62/3,116/1
28,65/3,130/1
29,70/3,139/2
30,74/3,139/3
31,80/3,141/3
32,86/3,145/3
33,89/3,148/3
34,94/3,157/3
35,99/3,159/3
36,102/3,171/3
37,109/3,172/4
38,113/3,176/4
39,117/4,176/4
40,120/4,179/4
41,129/4,181/4
42,133/4,185/4
43,136/4,189/4
44,137/4,nil
45,145/4,nil
46,152/4,nil
47,154/5,nil
48,165/5,nil
49,179/6,nil
50,188/6,nil
