Over,ScoreA,ScoreB
1,4/0,1/1
2,9/0,4/1
3,12/0,7/1
4,16/0,7/1
5,16/0,12/1
6,23/0,12/1
7,26/0,22/1
8,44/0,24/1
9,45/0,36/1
10,54/0,37/1
11,55/0,48/1
12,69/0,51/1
13,75/0,54/2
14,76/1,67/2
15,76/1,69/2
16,77/1,72/2
17,85/1,74/2
18,92/1,78/2
19,97/2,82/2
20,101/2,85/2
21,108/2,92/2
22,112/2,99/2
23,115/2,103/2
24,116/2,105/2
25,120/2,110/2
26,126/2,112/2
27,130/3,118/2
28,135/3,122/2
29,137/3,123/2
30,141/3,128/2
31,144/3,130/3
32,149/3,134/3
33,152/3,137/3
34,154/3,143/3
35,154/4,149/3
36,158/4,159/3
37,163/4,164/3
38,167/4,169/3
39,170/5,173/3
40,182/5,177/3
41,186/6,184/3
42,190/6,187/4
43,197/6,189/5
44,202/7,194/6
45,207/8,198/7
46,212/10,202/7
47,203/7,nil
3.33,10,nil
0,4.22,nil
12,49,nil
3.20,3.00,nil
214/9,4*,nil
0,0,nil
