Over,ScoreA,ScoreB
1,3/0,9/0
2,4/0,11/0
3,5/0,12/0
4,7/1,12/2
5,11/2,12/2
6,16/2,14/2
7,18/2,27/2
8,18/2,27/2
9,20/2,33/2
10,24/2,42/2
11,26/2,43/2
12,27/3,54/2
13,28/3,57/3
14,30/3,58/4
15,30/3,58/4
16,36/3,60/4
17,36/4,60/4
18,38/4,60/4
19,40/4,63/4
20,43/5,65/4
21,43/5,69/5
22,45/5,69/5
23,45/5,72/5
24,49/5,72/5
25,50/5,77/5
26,52/5,81/5
27,57/5,85/5
28,58/5,86/5
29,64/5,95/5
30,64/5,95/5
31,68/5,96/5
32,78/5,104/5
33,83/5,107/5
34,88/5,116/5
35,93/5,120/5
36,93/5,nil
37,95/5,nil
38,95/5,nil
39,98/5,nil
40,99/6,nil
41,101/6,nil
42,105/6,nil
43,106/6,nil
44,107/7,nil
45,112/8,nil
46,115/8,nil
47,117/9,nil
48,117/10,nil
