Over,ScoreA,ScoreB
1,6/0,0/1
2,6/0,7/1
3,11/0,16/1
4,17/0,17/1
5,22/0,18/1
6,24/1,21/2
7,28/1,29/2
8,36/1,31/2
9,38/1,35/2
10,39/1,43/2
11,46/1,50/2
12,52/1,57/2
13,61/1,60/2
14,64/1,63/2
15,70/1,65/3
16,81/1,77/3
17,91/1,86/3
18,94/1,90/4
19,97/1,99/4
20,101/1,107/4
21,102/2,108/6
22,106/3,114/7
23,109/3,117/7
24,112/3,123/8
25,117/3,127/8
26,122/3,134/8
27,134/3,141/9
28,139/3,144/10
29,144/3,nil
30,147/4,nil
31,151/4,nil
32,154/5,nil
33,168/5,nil
34,178/5,nil
35,187/5,nil
36,201/6,nil
37,209/6,nil
38,228/6,nil
39,247/6,nil
