Over,ScoreA,ScoreB
1,1/0,0/1
2,5/0,4/1
3,13/0,10/1
4,13/1,25/1
5,19/1,31/1
6,20/1,43/1
7,21/1,43/1
8,22/1,45/1
9,23/2,50/1
10,24/2,54/1
11,32/2,55/2
12,36/2,56/2
13,37/3,57/2
14,42/3,61/2
15,45/3,61/2
16,46/4,64/2
17,50/4,67/2
18,53/4,70/2
19,60/4,84/2
20,63/4,94/2
21,68/4,97/2
22,72/4,99/2
23,77/5,107/2
24,78/5,111/2
25,85/5,116/2
26,90/5,120/2
27,93/5,126/2
28,97/5,127/3
29,104/5,139/3
30,109/5,141/3
31,112/5,148/3
32,120/5,153/3
33,122/5,157/3
34,126/7,167/3
35,133/7,nil
36,144/8,nil
37,150/8,nil
38,155/9,nil
39,160/9,nil
40,163/10,nil
