Over,ScoreA,ScoreB
1,6/0,9/0
2,8/1,12/0
3,8/2,20/0
4,10/2,26/0
5,13/2,28/0
6,14/2,35/1
7,19/2,38/1
8,28/2,40/1
9,31/2,42/2
10,31/3,51/2
11,34/3,58/2
12,37/3,68/2
13,47/3,74/2
14,49/3,77/3
15,50/3,80/3
16,54/3,84/3
17,56/3,87/3
18,63/3,91/3
19,67/3,96/4
20,80/3,101/4
21,85/3,103/5
22,88/3,111/5
23,89/3,114/5
24,95/3,121/5
25,97/4,128/5
26,99/4,131/5
27,103/4,137/5
28,112/4,148/5
29,119/4,154/5
30,121/5,161/5
31,126/5,167/5
32,133/5,170/5
33,136/5,176/5
34,141/5,178/5
35,148/5,183/5
36,158/5,189/5
37,165/5,194/5
38,179/5,201/5
39,184/6,202/7
40,186/7,205/7
41,189/7,207/8
42,197/7,208/8
43,197/7,211/9
44,207/7,214/9
45,211/7,217/9
46,222/7,218/10
47,232/8,nil
48,234/9,nil
49,236/9,nil
50,241/10,nil
